Issue Number,Issue Title,Time created,Time closed,Number of Assignees,Number of Comments,Tags,Final_Is_Bug
114968,Missing `.so` files when installing PyTorch 1.11.0 for PyTorch3D with Python 3.8  oncall: pt2,2023-12-01 18:20:37+00:00,,0,0,oncall: pt2,False
114967,Inplace update to buffers doesn't work with `aot_compile` ,2023-12-01 18:10:19+00:00,,0,0,,False
114966,[dynamo] dynamo does not support dataclasses with `frozen=True` triaged module: dynamo,2023-12-01 18:04:35+00:00,,0,0,triaged module: dynamo,False
114964,"[dynamo] missing support for function `object.__setattr__(obj, name, value)` triaged module: dynamo",2023-12-01 18:00:39+00:00,,0,0,triaged module: dynamo,False
114963,"[dynamo] missing support for builtin function `dict.fromkeys(iterable, value=None, /)` triaged module: dynamo",2023-12-01 17:58:57+00:00,,0,0,triaged module: dynamo,False
114962,`CUDAExtension` no longer works with `ccache` ,2023-12-01 17:48:02+00:00,,0,0,,False
114954,Add dynamic shape tests for important models to guard against regression module: onnx triaged onnx-triaged,2023-12-01 16:18:29+00:00,,0,0,module: onnx triaged onnx-triaged,True
114951,Unexpected poor performance of C++ extension / wish for a fast `operator[]` module: cpp triaged,2023-12-01 14:08:18+00:00,,0,1,module: cpp triaged,True
114949,"Nvidia P100, where to disable upcasting? Plus kernel image missing. module: binaries module: cuda triaged",2023-12-01 12:18:13+00:00,,0,2,module: binaries module: cuda triaged,True
114948,conda package _openmp_mutex  makes pytorch dataloader slower when set num_workers > 0 module: binaries triaged,2023-12-01 12:08:53+00:00,,0,2,module: binaries triaged,True
114945,torch.multinomial - Unexpected (incorrect) results when replacement=True in version 2.1.1+cpu triaged module: random,2023-12-01 10:50:33+00:00,,0,1,triaged module: random,True
114943,torch.einsum may choose a strategy for which there is not enough memory module: cuda module: memory usage triaged,2023-12-01 10:24:55+00:00,,0,0,module: cuda module: memory usage triaged,True
114942,[MPS only] failed assertion `New volume: xxx should match old volume: xxx [reshapeWithCommandBuffer] MPSNDArrayIdentity.' module: crash triaged module: mps,2023-12-01 10:10:57+00:00,,0,0,module: crash triaged module: mps,True
114938,torch.compile is not working with torchaudio.functional.lfilter oncall: pt2,2023-12-01 08:42:07+00:00,,0,0,oncall: pt2,False
114936,[PT2.1][torch.compile] empty shape in tracing oncall: pt2,2023-12-01 07:04:13+00:00,,0,0,oncall: pt2,False
114935,print statements used in torch/utils/cpp_extension.py module: cpp-extensions triaged better-engineering actionable,2023-12-01 06:51:51+00:00,,0,1,module: cpp-extensions triaged better-engineering actionable,True
114934,get an approximate value to the memory usage for both inferance and training   module: memory usage oncall: pt2,2023-12-01 06:38:20+00:00,,0,1,module: memory usage oncall: pt2,False
114933,duplicate code in python_arg_parser.cpp  module: internals triaged,2023-12-01 06:27:09+00:00,,0,1,module: internals triaged,True
114928,`torch.nn.utils.rnn.pack_padded_sequence` heap-buffer-overflow module: nn triaged,2023-12-01 03:45:39+00:00,,0,0,module: nn triaged,True
114925,DISABLED test_make_fx_symbolic_exhaustive_out_special_entr_cpu_float32 (__main__.TestProxyTensorOpInfoCPU) triaged module: flaky-tests skipped module: ProxyTensor,2023-12-01 00:57:10+00:00,,0,1,triaged module: flaky-tests skipped module: ProxyTensor,False
114913,[CI] Lintrunner takes 60+ min module: ci triaged module: flaky-tests,2023-12-01 00:16:29+00:00,,0,2,module: ci triaged module: flaky-tests,True
114911,single-batch `torch.bmm` is significantly slower with cuBLAS>12.1.0  high priority triage review module: cuda module: third_party topic: performance,2023-11-30 23:56:42+00:00,,0,5,high priority triage review module: cuda module: third_party topic: performance,True
114904,Validations for 2.1.2 release oncall: releng triaged,2023-11-30 22:05:53+00:00,,0,0,oncall: releng triaged,True
114903,[inductor] `torch.var` unexpectedly returns NaN values on A16 and A2  module: cuda oncall: pt2 module: inductor,2023-11-30 21:57:41+00:00,,0,3,module: cuda oncall: pt2 module: inductor,False
114899,aot_export_module doesn't work with torch.cond export-triage-review oncall: export,2023-11-30 20:57:30+00:00,,1,2,export-triage-review oncall: export,False
114892,ExportedProgram.run_decompistion errors when specifying dim=-1 in torch.ops.aten.scatter_add oncall: export,2023-11-30 19:44:48+00:00,,0,0,oncall: export,False
114888,"PyTorch is super bloated, even the data loader has too many lines of code. needs reproduction triaged",2023-11-30 18:50:05+00:00,,0,2,needs reproduction triaged,False
114884,Undefined reference to ncclCommSplit oncall: distributed module: nccl,2023-11-30 17:31:37+00:00,,0,0,oncall: distributed module: nccl,False
114879,[inductor][cpu]basic_gnn_gin and basic_gnn_sage AMP performance regression module: cpu oncall: pt2 module: inductor,2023-11-30 16:09:17+00:00,,1,2,module: cpu oncall: pt2 module: inductor,False
114877,Sparse CSC | CSR | Tensor Serialization Load Issue module: sparse module: serialization triaged,2023-11-30 15:23:35+00:00,,0,0,module: sparse module: serialization triaged,True
114876,Add support for torch.cat on nested_tensor triaged module: nestedtensor,2023-11-30 15:23:18+00:00,,0,1,triaged module: nestedtensor,False
