Issue Number,Issue Title,Time created,Time closed,Number of Assignees,Number of Comments,Tags
114899,aot_export_module doesn't work with torch.cond,2023-11-30 20:57:30+00:00,,1,1,"[Label(name=""export-triage-review""), Label(name=""oncall: export"")]"
114898,[PT2.1][torch.compile][out variant] normal_operator - assert layout is None,2023-11-30 20:38:59+00:00,,0,0,"[Label(name=""oncall: pt2"")]"
114893,Support for Python 3.12,2023-11-30 19:46:14+00:00,2023-11-30 20:04:44+00:00,0,1,[]
114892,ExportedProgram.run_decompistion errors when specifying dim=-1 in torch.ops.aten.scatter_add,2023-11-30 19:44:48+00:00,,0,0,[]
114888,"PyTorch is super bloated, even the data loader has too many lines of code.",2023-11-30 18:50:05+00:00,,0,1,[]
114884,Undefined reference to ncclCommSplit,2023-11-30 17:31:37+00:00,,0,0,[]
114881,Strange memory increase during inference/evaluation,2023-11-30 17:03:10+00:00,,0,0,[]
114879,[inductor][cpu]basic_gnn_gin and basic_gnn_sage AMP performance regression,2023-11-30 16:09:17+00:00,,0,0,[]
114878,[inductor][cpu]pytorch_stargan and llama accuracy failure,2023-11-30 15:51:41+00:00,,0,1,[]
114877,Sparse CSC | CSR | Tensor Serialization Load Issue,2023-11-30 15:23:35+00:00,,0,0,"[Label(name=""module: sparse""), Label(name=""module: serialization"")]"
114876,Add support for torch.cat on nested_tensor,2023-11-30 15:23:18+00:00,,0,0,[]
114875,[inductor][cpu] few models show performance regression on CPP Wrapper,2023-11-30 14:54:06+00:00,,0,1,[]
114874,nn.LSTM tolerates wrong input shape when hidden state isn't provided.,2023-11-30 14:44:17+00:00,,0,0,[]
114873,[inductor][cpu] hf_T5_generate and doctr_det_predictor failed on CPP Wrapper Dynamic Shape,2023-11-30 14:42:05+00:00,,0,1,[]
114871,Sparse block tensors (`torch.sparse`),2023-11-30 14:14:19+00:00,,0,0,[]
114869,[inductor][cpu] llama and pytorch_stargan failed on CPP Wrapper,2023-11-30 13:59:42+00:00,,0,1,[]
114868,test_vmapvjpvjp_linalg_tensorsolve_cpu_float32 fails with precision issue,2023-11-30 12:59:01+00:00,,0,0,[]
114865,`torch.Tensor.to_sparse` segfault,2023-11-30 12:09:31+00:00,,0,0,[]
114864,`torch.Tensor.index_add` segfault by negative-size-param,2023-11-30 11:34:57+00:00,,0,0,[]
114862,LAPACK is not supported in nightly aarch64 whl,2023-11-30 10:10:12+00:00,,0,2,[]
114861,Torchrun threads with different computing speed.,2023-11-30 10:05:50+00:00,,0,0,[]
114860,Reduce cudagraphs overhead,2023-11-30 09:56:02+00:00,2023-11-30 17:58:33+00:00,0,3,"[Label(name=""feature""), Label(name=""triaged""), Label(name=""module: cuda graphs"")]"
114859,PT2 QAT flow fails to get reasonable accuracy with  mobilenet_v3_large,2023-11-30 09:11:12+00:00,,0,0,[]
114857,recursive search for DDP ignored parameters,2023-11-30 08:34:56+00:00,,0,0,"[Label(name=""oncall: distributed"")]"
114856,[RFC] Intel GPU Inductor backend upstreaming,2023-11-30 08:25:11+00:00,,0,0,[]
114855,SparseTensor index select uses more CUDA memory than Torch index select,2023-11-30 08:19:42+00:00,,0,0,[]
114850,[RFC] Add Intel GPU support into PyTorch CI/CD ,2023-11-30 07:15:58+00:00,,0,0,[]
114848,[RFC]Intel GPU oneDNN Upstreaming,2023-11-30 06:47:36+00:00,,0,0,[]
114846,"""Problem with Executing 'view' Operation after Splitting a Traced GraphModule into Two Parts""",2023-11-30 05:39:09+00:00,,0,0,[]
114844,CUDA graph doesn't update tensor on replay,2023-11-30 05:33:46+00:00,,0,0,[]
114842,[RFC] Intel GPU Runtime Upstreaming,2023-11-30 05:05:21+00:00,,0,0,[]
114840,MacOS tests randomly fail after https://github.com/pytorch/pytorch/commit/165f4f6ccf7522d75df99c30821d583dfc58ad62,2023-11-30 05:01:36+00:00,,0,1,"[Label(name=""high priority""), Label(name=""triage review""), Label(name=""module: ci""), Label(name=""module: macos"")]"
114835,[RFC] Building system for SYCL and limited number of SYCL kernels for ATen fallbacks of TorchInductor,2023-11-30 03:44:16+00:00,,0,0,[]
114834,DISABLED test_grad_nn_functional_conv3d_cuda_float32 (__main__.TestOperatorsCUDA),2023-11-30 03:40:18+00:00,,0,1,"[Label(name=""module: flaky-tests""), Label(name=""skipped""), Label(name=""module: unknown"")]"
114833,DISABLED test_fn_gradgrad_linalg_lu_cuda_complex128 (__main__.TestBwdGradientsCUDA),2023-11-30 03:40:16+00:00,,0,1,"[Label(name=""module: flaky-tests""), Label(name=""skipped""), Label(name=""module: unknown"")]"
114832,DISABLED test_fn_gradgrad_linalg_lu_factor_ex_cuda_float64 (__main__.TestBwdGradientsCUDA),2023-11-30 03:40:12+00:00,,0,1,"[Label(name=""module: flaky-tests""), Label(name=""skipped""), Label(name=""module: unknown"")]"
114831,DISABLED test_torch_name_rule_map_updated (__main__.TraceRuleTests),2023-11-30 03:40:12+00:00,,0,3,"[Label(name=""module: flaky-tests""), Label(name=""skipped""), Label(name=""module: unknown"")]"
114822,"convert to onnx with the dynamic shape and onnx convert to tensorrt, but could't get the dynamic engine of tensorrt. dims.d[0]==1 !!! what is wrong with the model??? please give me some help. thanks",2023-11-30 02:21:23+00:00,2023-11-30 03:22:52+00:00,0,0,[]
114818,[torch.compile] Using torch.amp.autocast as decorator caused graph breaks,2023-11-30 01:41:21+00:00,,1,3,"[Label(name=""triaged""), Label(name=""oncall: pt2""), Label(name=""module: dynamo"")]"
114808,Efficient Cholesky and QR updates,2023-11-29 23:26:11+00:00,,0,0,"[Label(name=""module: sparse""), Label(name=""triaged"")]"
114807,Addition of Sparse and Dense Tensors Triggers Internal Assertion Failure,2023-11-29 23:19:28+00:00,,0,0,"[Label(name=""module: sparse""), Label(name=""triaged"")]"
114805,Unsupported: call_method UserDefinedObjectVariable(_profiler_enabled) __call__ [] {},2023-11-29 22:51:45+00:00,,0,0,"[Label(name=""triaged""), Label(name=""module: graph breaks"")]"
114801,torch.onnx.export to support opset 20. ,2023-11-29 22:09:51+00:00,,0,0,"[Label(name=""module: onnx""), Label(name=""triaged""), Label(name=""onnx-triaged"")]"
114796,Add head_mask for transformers,2023-11-29 21:09:10+00:00,,0,0,"[Label(name=""module: nn""), Label(name=""triaged""), Label(name=""oncall: transformer/mha"")]"
114786,[ONNX] Refactor op level_debug to catch mismatches between ONNX models and ExportedProgram and nn.Module,2023-11-29 20:00:15+00:00,,2,0,"[Label(name=""module: onnx""), Label(name=""triaged""), Label(name=""onnx-triaged"")]"
