Issue Number,Issue Title,Time created,Time closed,Number of Assignees,Number of Comments,Tags
62530,Internal quantize ops don't match external quantization,2023-12-01 19:27:53+00:00,,1,0,"[Label(name=""TFLiteConverter"")]"
62528,"Inconsistency in XLA Compiled Model with `tf.add, tf.experimental.numpy.triu, tf.math.reduce_max` and Additional Transpose Output on GPU",2023-12-01 16:18:38+00:00,,1,0,"[Label(name=""type:bug"")]"
62527,Inconsistency in XLA compiled Models with Sliced Matrix Multiplication and Additional Transpose Output on GPU,2023-12-01 15:42:25+00:00,,1,0,"[Label(name=""type:bug"")]"
62526,1D/2D Tensor strided sliding window,2023-12-01 14:20:27+00:00,,1,0,"[Label(name=""type:support"")]"
62525,tf.compat.v1.conv2d_backprop_input does not work well with bfloat16 input.,2023-12-01 10:23:45+00:00,,1,0,"[Label(name=""type:bug"")]"
62524,keras,2023-12-01 09:36:21+00:00,,1,1,"[Label(name=""invalid"")]"
62523,[BUG] race condition in local rendezvous,2023-12-01 09:22:59+00:00,,1,0,"[Label(name=""type:bug"")]"
62522,A hang issue in tf.raw_ops.MapUnstage,2023-12-01 07:07:52+00:00,,1,0,"[Label(name=""type:bug"")]"
62521,Inconsistency in XLA Compiled Model with Extra Transpose and Argmax Output Nodes,2023-12-01 06:57:13+00:00,,1,0,"[Label(name=""type:bug"")]"
62519,"Inconsistency in XLA Compiled TensorFlow Model with `tf.nn.softmax, tf.math.reduce_sum` with Extra Transposed Output",2023-11-30 18:23:14+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:xla""), Label(name=""TF 2.15"")]"
62518,Output Discrepancy in TensorFlow XLA Compilation with Operand Order Swap in Addition with `tf.rev + tf.math.argmax`,2023-11-30 17:53:59+00:00,,1,0,"[Label(name=""type:bug""), Label(name=""comp:xla""), Label(name=""TF 2.15"")]"
62517,"Inconsistency in XLA Compiled Models with Distributed Multiplications, `tf.abs`, and `tf.clip_by_value`",2023-11-30 15:56:38+00:00,,1,0,"[Label(name=""type:bug"")]"
62515, Inconsistency with Extra Transpose Node in  XLA Compiled Models Using `tf.squeeze` and `tf.abs`,2023-11-30 14:48:59+00:00,,1,0,"[Label(name=""type:bug"")]"
62514,"Output Discrepancy in XLA Compiled Models with `tf.divide, tf.math.reduce_prod, and tf.cos` Involving Extra Node",2023-11-30 13:59:55+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""comp:xla"")]"
62513,A hang issue in tf.raw_ops.Unstage,2023-11-30 13:04:12+00:00,,1,0,"[Label(name=""type:bug""), Label(name=""comp:data""), Label(name=""TF 2.13"")]"
62512,Output Discrepancies in TensorFlow Model with Extra Concat Output Node Under XLA Compilation,2023-11-30 11:54:08+00:00,,1,0,"[Label(name=""type:bug"")]"
62511,Add a csv/plain data input from directory,2023-11-30 11:43:23+00:00,,1,0,"[Label(name=""type:feature"")]"
62510,Output Discrepancy in Mathematically Equivalent Models with`tf.abs` Under XLA Compilation,2023-11-30 11:36:18+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:xla""), Label(name=""TF 2.15"")]"
62509,Significant Output Discrepancies in `tf.math.reduce_prod + tf.tan` with Extra Transposed Tensor Output,2023-11-30 09:59:49+00:00,,1,0,"[Label(name=""type:bug"")]"
62508,TensorFlow int32 data type memory copy issue,2023-11-30 09:57:19+00:00,,1,0,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:eager""), Label(name=""TF 2.15"")]"
62506,TFLITE: Benchmarking failure on GPT2 quantized autocomplete.tflite ,2023-11-30 02:33:49+00:00,,1,0,[]
62504,MemoryError: std::bad_alloc when calling tf.squeeze with a floating tensor axis,2023-11-29 19:27:17+00:00,,1,4,"[Label(name=""awaiting review""), Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""TF2.14"")]"
62503,"File ""/home/mona/anaconda3/envs/EfficientPose/lib/python3.8/site-packages/google/protobuf/internal/containers.py"", line 70, in __getitem__     return self._values[key] TypeError: list indices must be integers or slices, not str",2023-11-29 18:41:21+00:00,,1,1,"[Label(name=""stat:awaiting response""), Label(name=""type:bug"")]"
62501,Please bring back native Windows CUDA support! ,2023-11-29 15:46:52+00:00,,1,2,"[Label(name=""stat:awaiting response""), Label(name=""type:build/install""), Label(name=""subtype:windows""), Label(name=""TF 2.15"")]"
62500,/usr/bin/env: 'python3': No such file or directory,2023-11-29 13:34:48+00:00,,1,9,"[Label(name=""type:build/install""), Label(name=""subtype: ubuntu/linux""), Label(name=""TF 2.15"")]"
62499,PadV2 constant_values tensor not quantized using 16x8 quantization mode,2023-11-29 09:05:45+00:00,,1,0,"[Label(name=""comp:lite""), Label(name=""TFLiteConverter""), Label(name=""TF 2.15"")]"
62498,GPU installation docs woefully broken,2023-11-28 20:14:47+00:00,,1,4,"[Label(name=""type:docs-bug""), Label(name=""type:bug"")]"
62497,"TF 2.15 fails to build with error ""env: 'python3': No such file or directory"" from bazel py_strict_library.",2023-11-28 19:04:52+00:00,,1,5,"[Label(name=""type:build/install""), Label(name=""subtype: ubuntu/linux""), Label(name=""TF 2.15"")]"
62495,Model checkpoint not saved to google cloud storage,2023-11-28 16:43:20+00:00,,1,2,"[Label(name=""type:bug""), Label(name=""comp:keras""), Label(name=""TF2.14"")]"
62493,incorrect result run  collective_ops.all_reduce with communication_hint = nccl,2023-11-28 12:46:36+00:00,,1,2,"[Label(name=""stat:awaiting response""), Label(name=""type:bug""), Label(name=""comp:dist-strat""), Label(name=""TF 2.8"")]"
62491,Keras namespace stubs are gone after upgrading to 2.15,2023-11-28 12:30:46+00:00,,1,2,"[Label(name=""type:bug""), Label(name=""comp:keras""), Label(name=""TF 2.15"")]"
62490,[AARCH64] Building TF 2.15.0 from sources failed with undefined __Int8x8_t,2023-11-28 10:51:12+00:00,,1,0,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:build/install""), Label(name=""subtype: ubuntu/linux""), Label(name=""TF 2.15"")]"
62489, Op type not registered 'DisableCopyOnRead',2023-11-27 21:15:23+00:00,,1,5,"[Label(name=""type:support""), Label(name=""comp:lite""), Label(name=""TF2.14"")]"
62488,"GPU-Specific Inconsistency in XLA Compiled Model with `tf.nn.atrous_conv2d, tf.cos, and tf.multiply`",2023-11-27 18:42:58+00:00,,1,2,"[Label(name=""type:bug""), Label(name=""comp:gpu""), Label(name=""comp:xla""), Label(name=""TF 2.15"")]"
62486,Inconsistent Outputs from `tf.nn.astrous_conv2d + tf.round` with XLA compiled model on GPU,2023-11-27 16:30:24+00:00,,1,0,"[Label(name=""type:bug""), Label(name=""comp:xla""), Label(name=""TF 2.15"")]"
62485,Inconsistency in XLA Compiled Model Output for `tf.nn.conv2d` Combined with `tf.tan` on GPU,2023-11-27 16:14:55+00:00,,1,2,"[Label(name=""type:bug""), Label(name=""comp:xla""), Label(name=""TF 2.15"")]"
62483,Multi-GPU strategy scope causes save_weights error,2023-11-27 11:41:57+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:gpu""), Label(name=""TF 2.13"")]"
62481,Discrepancy in TensorFlow XLA Compiled Models Due to Different Multiplication Orders with `tf.abs` on GPU,2023-11-27 08:36:40+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:xla""), Label(name=""TF 2.15"")]"
62479,"When I import tensorflow as tf with python=3.9.6,there are errors",2023-11-26 23:06:09+00:00,,1,2,"[Label(name=""stat:awaiting response""), Label(name=""type:build/install""), Label(name=""2.6.0"")]"
62478,Inconsistency in Output of `tf.nn.conv2d + tf.cos` Combination in XLA Compiled Models on GPU,2023-11-26 16:42:31+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:xla""), Label(name=""TF 2.15"")]"
62477,Inconsistent Outputs from `tf.nn.conv2d_transpose` on GPU,2023-11-26 16:09:08+00:00,,1,2,"[Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""comp:gpu""), Label(name=""TF 2.15"")]"
62475,Discrepancies in Output due to Altered Multiplication Sequence in TensorFlow Operations,2023-11-24 05:55:05+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:xla""), Label(name=""TF 2.15"")]"
62474,clEnqueueWriteBuffer To clEnqueueMapBuffer,2023-11-24 05:53:06+00:00,,1,1,"[Label(name=""stat:awaiting response""), Label(name=""comp:lite""), Label(name=""TFLiteGpuDelegate"")]"
62470,Feature request: TensorFlow Hub and HuggingFace integration,2023-11-23 19:08:59+00:00,,1,1,"[Label(name=""type:feature""), Label(name=""type:support"")]"
62469,Latest TFLite converter failed on fused operators,2023-11-23 18:17:52+00:00,,1,1,"[Label(name=""stat:awaiting response""), Label(name=""type:bug""), Label(name=""comp:lite""), Label(name=""TFLiteConverter""), Label(name=""TF 2.15"")]"
62468,Reducing tensorflowlite_flex shared library with tflite models,2023-11-23 16:52:12+00:00,,1,0,"[Label(name=""type:build/install""), Label(name=""comp:lite""), Label(name=""subtype: ubuntu/linux""), Label(name=""subtype:bazel""), Label(name=""TF 2.15"")]"
62467,Inconsistency in TensorFlow's Handling of Distributive Properties(`a(b+c) vs ab + ac`) in XLA compiled model,2023-11-23 16:43:09+00:00,,1,1,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:xla""), Label(name=""TF2.14"")]"
62466,"20,000 sleeping threads",2023-11-23 15:29:14+00:00,,2,0,"[Label(name=""stat:awaiting tensorflower""), Label(name=""comp:xla""), Label(name=""type:performance""), Label(name=""TF 2.15"")]"
62465,tf.linalg.logdet outputs NaN on positive definite matrixs,2023-11-23 11:49:50+00:00,,1,4,"[Label(name=""type:bug""), Label(name=""comp:ops"")]"
62464,OneDNN Verbose not visible in tfv2.14.0 and above.,2023-11-23 11:16:51+00:00,,1,1,"[Label(name=""stat:awaiting response""), Label(name=""type:build/install""), Label(name=""comp:mkl""), Label(name=""subtype: ubuntu/linux""), Label(name=""TF2.14"")]"
62463,Inconsistency in TensorFlow's Handling of Associative Operations: `(a+b)*c - (a+b)*c vs. - (a*c + b*c) + a*c + b*c`,2023-11-23 09:15:07+00:00,,1,2,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:apis""), Label(name=""TF 2.15"")]"
62462,TFLIte interpreter crashes on Pixel 6 by not finding OpenCL lib ,2023-11-23 08:41:02+00:00,,1,3,"[Label(name=""stat:awaiting response""), Label(name=""type:support""), Label(name=""comp:lite"")]"
62461,Inconsistent Outputs from `tf.linalg.eigh` in XLA-Compiled Model,2023-11-23 07:46:46+00:00,,1,1,"[Label(name=""type:bug""), Label(name=""comp:xla""), Label(name=""TF 2.13"")]"
62460,keras.Model.fit does not work correctly with generator and sparse categorical crossentropy loss,2023-11-23 05:05:03+00:00,,1,3,"[Label(name=""stat:awaiting response""), Label(name=""type:bug""), Label(name=""comp:keras""), Label(name=""TF2.14"")]"
62459,Failure to compile TF 2.15.0 (with Cuda support) using clang in Ubuntu 22.04,2023-11-22 18:58:51+00:00,,1,12,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:build/install""), Label(name=""subtype: ubuntu/linux""), Label(name=""TF 2.15"")]"
62456,Unclear exception when using resize_with_pad on images with original_image_ratio > target_side,2023-11-22 09:56:11+00:00,,1,2,"[Label(name=""stat:awaiting response""), Label(name=""type:bug""), Label(name=""stale""), Label(name=""comp:ops""), Label(name=""TF 2.15"")]"
62454,XLA for Accelerated Linear Algebra should be called Non-Linear Algebra,2023-11-22 07:44:04+00:00,,1,1,"[Label(name=""stat:awaiting response""), Label(name=""type:bug"")]"
62451,`tf.linalg.cholesky` Produces Inconsistent Results with Complex and Float Tensors,2023-11-21 15:08:06+00:00,,1,3,"[Label(name=""stat:awaiting tensorflower""), Label(name=""type:bug""), Label(name=""comp:ops""), Label(name=""TF2.14"")]"
62449,"Encountering an error when using "" tf.config.experimental.enable_op_determinism() ",2023-11-21 13:24:05+00:00,,1,1,"[Label(name=""stat:awaiting response""), Label(name=""type:bug""), Label(name=""comp:apis""), Label(name=""TF 2.10"")]"
