Issue Number,Issue Title,Time created,Time closed,Number of Assignees,Number of Comments,Tags
114968,Missing `.so` files when installing PyTorch 1.11.0 for PyTorch3D with Python 3.8 ,2023-12-01 18:20:37+00:00,,0,0,"[Label(name=""oncall: pt2"")]"
114967,Inplace update to buffers doesn't work with `aot_compile`,2023-12-01 18:10:19+00:00,,0,0,[]
114966,[dynamo] dynamo does not support dataclasses with `frozen=True`,2023-12-01 18:04:35+00:00,,0,0,"[Label(name=""triaged""), Label(name=""module: dynamo"")]"
114964,"[dynamo] missing support for function `object.__setattr__(obj, name, value)`",2023-12-01 18:00:39+00:00,,0,0,"[Label(name=""triaged""), Label(name=""module: dynamo"")]"
114963,"[dynamo] missing support for builtin function `dict.fromkeys(iterable, value=None, /)`",2023-12-01 17:58:57+00:00,,0,0,"[Label(name=""triaged""), Label(name=""module: dynamo"")]"
114962,`CUDAExtension` no longer works with `ccache`,2023-12-01 17:48:02+00:00,,0,0,[]
114954,Add dynamic shape tests for important models to guard against regression,2023-12-01 16:18:29+00:00,,0,0,"[Label(name=""module: onnx""), Label(name=""triaged""), Label(name=""onnx-triaged"")]"
114951,Unexpected poor performance of C++ extension / wish for a fast `operator[]`,2023-12-01 14:08:18+00:00,,0,1,"[Label(name=""module: cpp""), Label(name=""triaged"")]"
114949,"Nvidia P100, where to disable upcasting? Plus kernel image missing.",2023-12-01 12:18:13+00:00,,0,2,"[Label(name=""module: binaries""), Label(name=""module: cuda""), Label(name=""triaged"")]"
114948,conda package _openmp_mutex  makes pytorch dataloader slower when set num_workers > 0,2023-12-01 12:08:53+00:00,,0,2,"[Label(name=""module: binaries""), Label(name=""triaged"")]"
114945,torch.multinomial - Unexpected (incorrect) results when replacement=True in version 2.1.1+cpu,2023-12-01 10:50:33+00:00,,0,1,"[Label(name=""triaged""), Label(name=""module: random"")]"
114943,torch.einsum may choose a strategy for which there is not enough memory,2023-12-01 10:24:55+00:00,,0,0,"[Label(name=""module: cuda""), Label(name=""module: memory usage""), Label(name=""triaged"")]"
114942,[MPS only] failed assertion `New volume: xxx should match old volume: xxx [reshapeWithCommandBuffer] MPSNDArrayIdentity.',2023-12-01 10:10:57+00:00,,0,0,"[Label(name=""module: crash""), Label(name=""triaged""), Label(name=""module: mps"")]"
114938,torch.compile is not working with torchaudio.functional.lfilter,2023-12-01 08:42:07+00:00,,0,0,"[Label(name=""oncall: pt2"")]"
114936,[PT2.1][torch.compile] empty shape in tracing,2023-12-01 07:04:13+00:00,,0,0,"[Label(name=""oncall: pt2"")]"
114935,print statements used in torch/utils/cpp_extension.py,2023-12-01 06:51:51+00:00,,0,1,"[Label(name=""module: cpp-extensions""), Label(name=""triaged""), Label(name=""better-engineering""), Label(name=""actionable"")]"
114934,get an approximate value to the memory usage for both inferance and training  ,2023-12-01 06:38:20+00:00,,0,1,"[Label(name=""module: memory usage""), Label(name=""oncall: pt2"")]"
114933,duplicate code in python_arg_parser.cpp ,2023-12-01 06:27:09+00:00,,0,1,"[Label(name=""module: internals""), Label(name=""triaged"")]"
114928,`torch.nn.utils.rnn.pack_padded_sequence` heap-buffer-overflow,2023-12-01 03:45:39+00:00,,0,0,"[Label(name=""module: nn""), Label(name=""triaged"")]"
114925,DISABLED test_make_fx_symbolic_exhaustive_out_special_entr_cpu_float32 (__main__.TestProxyTensorOpInfoCPU),2023-12-01 00:57:10+00:00,,0,1,"[Label(name=""triaged""), Label(name=""module: flaky-tests""), Label(name=""skipped""), Label(name=""module: ProxyTensor"")]"
114913,[CI] Lintrunner takes 60+ min,2023-12-01 00:16:29+00:00,,0,2,"[Label(name=""module: ci""), Label(name=""triaged""), Label(name=""module: flaky-tests"")]"
114911,single-batch `torch.bmm` is significantly slower with cuBLAS>12.1.0 ,2023-11-30 23:56:42+00:00,,0,5,"[Label(name=""high priority""), Label(name=""triage review""), Label(name=""module: cuda""), Label(name=""module: third_party""), Label(name=""topic: performance"")]"
114904,Validations for 2.1.2 release,2023-11-30 22:05:53+00:00,,0,0,"[Label(name=""oncall: releng""), Label(name=""triaged"")]"
114903,[inductor] `torch.var` unexpectedly returns NaN values on A16 and A2 ,2023-11-30 21:57:41+00:00,,0,3,"[Label(name=""module: cuda""), Label(name=""oncall: pt2""), Label(name=""module: inductor"")]"
114899,aot_export_module doesn't work with torch.cond,2023-11-30 20:57:30+00:00,,1,2,"[Label(name=""export-triage-review""), Label(name=""oncall: export"")]"
114892,ExportedProgram.run_decompistion errors when specifying dim=-1 in torch.ops.aten.scatter_add,2023-11-30 19:44:48+00:00,,0,0,"[Label(name=""oncall: export"")]"
114888,"PyTorch is super bloated, even the data loader has too many lines of code.",2023-11-30 18:50:05+00:00,,0,2,"[Label(name=""needs reproduction""), Label(name=""triaged"")]"
114884,Undefined reference to ncclCommSplit,2023-11-30 17:31:37+00:00,,0,0,"[Label(name=""oncall: distributed""), Label(name=""module: nccl"")]"
114879,[inductor][cpu]basic_gnn_gin and basic_gnn_sage AMP performance regression,2023-11-30 16:09:17+00:00,,1,2,"[Label(name=""module: cpu""), Label(name=""oncall: pt2""), Label(name=""module: inductor"")]"
114877,Sparse CSC | CSR | Tensor Serialization Load Issue,2023-11-30 15:23:35+00:00,,0,0,"[Label(name=""module: sparse""), Label(name=""module: serialization""), Label(name=""triaged"")]"
114876,Add support for torch.cat on nested_tensor,2023-11-30 15:23:18+00:00,,0,1,"[Label(name=""triaged""), Label(name=""module: nestedtensor"")]"
114875,[inductor][cpu] few models show performance regression on CPP Wrapper,2023-11-30 14:54:06+00:00,,0,3,"[Label(name=""module: cpu""), Label(name=""oncall: pt2""), Label(name=""module: inductor""), Label(name=""module: cpu inductor"")]"
114874,nn.LSTM tolerates wrong input shape when hidden state isn't provided.,2023-11-30 14:44:17+00:00,,0,0,"[Label(name=""module: nn""), Label(name=""triaged"")]"
114873,[inductor][cpu] hf_T5_generate and doctr_det_predictor failed on CPP Wrapper Dynamic Shape,2023-11-30 14:42:05+00:00,,1,3,"[Label(name=""module: cpu""), Label(name=""oncall: pt2""), Label(name=""module: inductor"")]"
114871,Sparse block tensors (`torch.sparse`),2023-11-30 14:14:19+00:00,,0,0,"[Label(name=""module: sparse""), Label(name=""feature""), Label(name=""triaged"")]"
114869,[inductor][cpu] llama and pytorch_stargan failed on CPP Wrapper,2023-11-30 13:59:42+00:00,,1,3,"[Label(name=""module: cpu""), Label(name=""oncall: pt2""), Label(name=""module: inductor"")]"
114868,test_vmapvjpvjp_linalg_tensorsolve_cpu_float32 fails with precision issue,2023-11-30 12:59:01+00:00,,0,0,"[Label(name=""triaged""), Label(name=""module: functorch"")]"
114864,`torch.Tensor.index_add` segfault by negative-size-param,2023-11-30 11:34:57+00:00,,1,1,"[Label(name=""triaged""), Label(name=""actionable""), Label(name=""module: python frontend""), Label(name=""module: edge cases"")]"
114861,Torchrun threads with different computing speed.,2023-11-30 10:05:50+00:00,,0,2,"[Label(name=""oncall: distributed"")]"
114859,PT2 QAT flow fails to get reasonable accuracy with  mobilenet_v3_large,2023-11-30 09:11:12+00:00,,0,0,"[Label(name=""oncall: quantization""), Label(name=""oncall: pt2"")]"
114857,recursive search for DDP ignored parameters,2023-11-30 08:34:56+00:00,,0,0,"[Label(name=""oncall: distributed"")]"
114856,[RFC] Intel GPU Inductor backend upstreaming,2023-11-30 08:25:11+00:00,,3,0,"[Label(name=""module: intel""), Label(name=""oncall: pt2""), Label(name=""module: inductor"")]"
114855,SparseTensor index select uses more CUDA memory than Torch index select,2023-11-30 08:19:42+00:00,,0,0,"[Label(name=""module: sparse""), Label(name=""module: memory usage""), Label(name=""triaged"")]"
114850,[RFC] Add Intel GPU support into PyTorch CI/CD ,2023-11-30 07:15:58+00:00,,0,0,"[Label(name=""oncall: releng""), Label(name=""module: intel"")]"
114848,[RFC]Intel GPU oneDNN Upstreaming,2023-11-30 06:47:36+00:00,,0,0,"[Label(name=""triaged""), Label(name=""module: intel"")]"
114844,CUDA graph doesn't update tensor on replay,2023-11-30 05:33:46+00:00,,0,0,"[Label(name=""triaged""), Label(name=""module: cuda graphs"")]"
114842,[RFC] Intel GPU Runtime Upstreaming,2023-11-30 05:05:21+00:00,,0,0,"[Label(name=""triaged""), Label(name=""module: intel"")]"
114840,MacOS tests randomly fail after https://github.com/pytorch/pytorch/commit/165f4f6ccf7522d75df99c30821d583dfc58ad62,2023-11-30 05:01:36+00:00,,0,1,"[Label(name=""high priority""), Label(name=""triage review""), Label(name=""module: ci""), Label(name=""module: macos"")]"
114835,[RFC] Building system for SYCL and limited number of SYCL kernels for ATen fallbacks of TorchInductor,2023-11-30 03:44:16+00:00,,0,0,"[Label(name=""feature""), Label(name=""module: intel""), Label(name=""oncall: pt2""), Label(name=""module: inductor"")]"
114834,DISABLED test_grad_nn_functional_conv3d_cuda_float32 (__main__.TestOperatorsCUDA),2023-11-30 03:40:18+00:00,,0,1,"[Label(name=""module: autograd""), Label(name=""module: nn""), Label(name=""triaged""), Label(name=""module: flaky-tests""), Label(name=""skipped"")]"
114833,DISABLED test_fn_gradgrad_linalg_lu_cuda_complex128 (__main__.TestBwdGradientsCUDA),2023-11-30 03:40:16+00:00,,0,1,"[Label(name=""module: autograd""), Label(name=""triaged""), Label(name=""module: flaky-tests""), Label(name=""module: linear algebra""), Label(name=""skipped"")]"
114832,DISABLED test_fn_gradgrad_linalg_lu_factor_ex_cuda_float64 (__main__.TestBwdGradientsCUDA),2023-11-30 03:40:12+00:00,,0,1,"[Label(name=""module: autograd""), Label(name=""triaged""), Label(name=""module: flaky-tests""), Label(name=""module: linear algebra""), Label(name=""skipped"")]"
114831,DISABLED test_torch_name_rule_map_updated (__main__.TraceRuleTests),2023-11-30 03:40:12+00:00,,0,3,"[Label(name=""triaged""), Label(name=""module: flaky-tests""), Label(name=""skipped""), Label(name=""module: dynamo"")]"
114808,Efficient Cholesky and QR updates,2023-11-29 23:26:11+00:00,,0,0,"[Label(name=""module: sparse""), Label(name=""triaged"")]"
114807,Addition of Sparse and Dense Tensors Triggers Internal Assertion Failure,2023-11-29 23:19:28+00:00,,0,0,"[Label(name=""module: sparse""), Label(name=""triaged"")]"
114805,Unsupported: call_method UserDefinedObjectVariable(_profiler_enabled) __call__ [] {},2023-11-29 22:51:45+00:00,,0,0,"[Label(name=""triaged""), Label(name=""module: graph breaks"")]"
114801,torch.onnx.export to support opset 20. ,2023-11-29 22:09:51+00:00,,0,0,"[Label(name=""module: onnx""), Label(name=""triaged""), Label(name=""onnx-triaged"")]"
114796,Add head_mask for transformers,2023-11-29 21:09:10+00:00,,0,0,"[Label(name=""module: nn""), Label(name=""triaged""), Label(name=""oncall: transformer/mha"")]"
114786,[ONNX] Refactor op level_debug to catch mismatches between ONNX models and ExportedProgram and nn.Module,2023-11-29 20:00:15+00:00,,2,0,"[Label(name=""module: onnx""), Label(name=""triaged""), Label(name=""onnx-triaged"")]"
114783,[ONNX] Extend `test_fx_op_conistency.py` to take `ExportedProgram` converter,2023-11-29 19:55:21+00:00,,0,0,"[Label(name=""module: onnx""), Label(name=""triaged""), Label(name=""onnx-triaged"")]"
114777,torch.compile x autograd.Function x enum inputs graph breaks,2023-11-29 19:20:04+00:00,,0,1,"[Label(name=""triage review""), Label(name=""triaged""), Label(name=""oncall: pt2""), Label(name=""module: dynamo""), Label(name=""module: graph breaks"")]"
114765,DistributedDataParallel _verify_param_shape_across_processes causes reserved memory on GPU,2023-11-29 17:59:33+00:00,,0,0,"[Label(name=""oncall: distributed"")]"
114760,[AOTAutograd] nit `assert_functional_graph` is misnamed,2023-11-29 15:41:44+00:00,,0,0,"[Label(name=""triaged""), Label(name=""module: aotdispatch"")]"
114752,Issues when trying to compile nn.functional.interpolate() layer with dynamic input and output size,2023-11-29 12:40:36+00:00,,0,1,"[Label(name=""triaged""), Label(name=""oncall: pt2""), Label(name=""module: dynamic shapes""), Label(name=""module: dynamo"")]"
114750,"[aarch64] `nn.Linear(20, 1)` inference fails",2023-11-29 12:27:31+00:00,,0,12,"[Label(name=""high priority""), Label(name=""triage review""), Label(name=""oncall: jit""), Label(name=""module: nn""), Label(name=""module: mkldnn""), Label(name=""module: regression""), Label(name=""module: arm"")]"
114743,aot_module fails to trace modules whose parameters are tied (models with shared params),2023-11-29 08:18:14+00:00,,0,1,"[Label(name=""triaged""), Label(name=""oncall: pt2""), Label(name=""module: pt2-dispatcher"")]"
114742,[Add][compile] Tensor with dtype torch.int64 is not the expected dtype of torch.int32!,2023-11-29 07:33:27+00:00,,0,2,"[Label(name=""needs reproduction""), Label(name=""triaged""), Label(name=""oncall: pt2""), Label(name=""module: dynamo"")]"
114740,torch.cuda.amp.common.amp_definitely_not_available() failed and needs to raise RuntimeError,2023-11-29 06:27:51+00:00,,0,1,"[Label(name=""triaged""), Label(name=""module: amp (automated mixed precision)"")]"
114723,[RFC] Intel GPU Upstreaming ,2023-11-29 01:48:29+00:00,,4,1,"[Label(name=""triage review""), Label(name=""module: intel""), Label(name=""module: inductor"")]"
114721,AppleSilicon binaries are build without OpenMP support,2023-11-29 01:32:16+00:00,,1,5,"[Label(name=""high priority""), Label(name=""triage review""), Label(name=""oncall: releng"")]"
114719,DISABLED test_make_fx_symbolic_exhaustive_out_special_log_ndtr_cpu_float32 (__main__.TestProxyTensorOpInfoCPU),2023-11-29 00:56:53+00:00,,0,1,"[Label(name=""triaged""), Label(name=""module: flaky-tests""), Label(name=""skipped""), Label(name=""module: ProxyTensor"")]"
114691,`torch.from_numpy` does not support `set_default_device`,2023-11-28 19:29:02+00:00,,0,4,"[Label(name=""module: docs""), Label(name=""triaged""), Label(name=""actionable""), Label(name=""module: tensor creation"")]"
114681,DISABLED test_sync_batch_norm_empty_input (__main__.DistributedDataParallelTest),2023-11-28 15:39:39+00:00,,0,1,"[Label(name=""oncall: distributed""), Label(name=""module: flaky-tests""), Label(name=""skipped"")]"
114680,pytorch cpuinfo submodule to be updated to the latest,2023-11-28 14:07:46+00:00,,0,2,"[Label(name=""module: build""), Label(name=""triaged"")]"
114679,Unexpected Results in PyTorch Tensor Operations with Python Scalars,2023-11-28 13:59:12+00:00,,0,0,"[Label(name=""triaged""), Label(name=""module: numpy"")]"
114677,"Upgrading from 1.8.1 to 1.13.0 causes exported ONNX file enlarged greatly, printable graph changed, and crashed when converting to TensorRT",2023-11-28 09:22:00+00:00,,0,0,"[Label(name=""module: onnx""), Label(name=""triaged"")]"
114676,'SymFloat' object has no attribute 'is_integer',2023-11-28 09:19:34+00:00,,1,0,"[Label(name=""good first issue""), Label(name=""triaged""), Label(name=""oncall: pt2""), Label(name=""module: dynamic shapes"")]"
114674,Dynamo guards key error for `guarded_backend_cache.cached_backends`,2023-11-28 08:57:21+00:00,,1,4,"[Label(name=""triaged""), Label(name=""oncall: pt2""), Label(name=""module: dynamo"")]"
114672,torch.fft.ifft crashes for empty input,2023-11-28 07:52:42+00:00,,0,0,"[Label(name=""triaged""), Label(name=""module: fft"")]"
114670,DISABLED test_backward_nn_functional_conv3d_cuda_float32 (__main__.TestCompositeComplianceCUDA),2023-11-28 06:40:17+00:00,,0,1,"[Label(name=""module: autograd""), Label(name=""module: nn""), Label(name=""triaged""), Label(name=""module: flaky-tests""), Label(name=""skipped"")]"
114665,DISABLED test_cuda_stream_method_dynamic_shapes (__main__.DynamicShapesCtxManagerTests),2023-11-28 05:00:25+00:00,,0,1,"[Label(name=""triaged""), Label(name=""skipped""), Label(name=""module: dynamo"")]"
114656,DISABLED test_conj_view_nn_functional_conv3d_cuda_complex64 (__main__.TestMathBitsCUDA),2023-11-28 00:57:42+00:00,,0,1,"[Label(name=""module: nn""), Label(name=""triaged""), Label(name=""module: flaky-tests""), Label(name=""skipped"")]"
114655,DISABLED test_noncontiguous_samples_nn_functional_conv3d_cuda_float32 (__main__.TestCommonCUDA),2023-11-28 00:57:12+00:00,,0,1,"[Label(name=""module: rocm""), Label(name=""triaged""), Label(name=""module: flaky-tests""), Label(name=""skipped""), Label(name=""module: unknown"")]"
114654,DISABLED test_jvpvjp_nn_functional_conv3d_cuda_float32 (__main__.TestOperatorsCUDA),2023-11-28 00:57:09+00:00,,0,2,"[Label(name=""triaged""), Label(name=""module: flaky-tests""), Label(name=""skipped""), Label(name=""module: functorch"")]"
114652,__torch_dispatch__ fails on functionalization when lazy device and `out=` arg is used,2023-11-28 00:55:28+00:00,,0,1,"[Label(name=""triaged""), Label(name=""module: __torch_dispatch__""), Label(name=""module: lazy""), Label(name=""module: functionalization"")]"
114650,Error when calculating the Jacobian of torch.conj using forward-mode differentiation,2023-11-28 00:35:47+00:00,,0,2,"[Label(name=""module: autograd""), Label(name=""triaged""), Label(name=""module: complex""), Label(name=""has workaround""), Label(name=""needs design"")]"
114635,[export] AssertionError: expected FunctionType found method <bound method QuantLinearConvBase.quantized_forward of <class '__main__.QuantConv2d'>>,2023-11-27 22:32:00+00:00,,0,0,"[Label(name=""oncall: export"")]"
114632,[DeviceMesh] back DeviceMesh initialization by custom_pg,2023-11-27 22:02:09+00:00,,0,0,"[Label(name=""oncall: distributed""), Label(name=""triaged"")]"
114631,DISABLED test_vjpvmap_nn_functional_conv3d_cuda_float32 (__main__.TestOperatorsCUDA),2023-11-27 21:42:45+00:00,,0,5,"[Label(name=""triaged""), Label(name=""module: flaky-tests""), Label(name=""skipped"")]"
114629,[DeviceMesh] `init_device_mesh` does not support CPU-only,2023-11-27 21:16:45+00:00,,0,0,"[Label(name=""oncall: distributed""), Label(name=""triaged"")]"
114628,`run_decompositions` in `ExportedProgram` doesn't keep the same model state_dict,2023-11-27 21:14:06+00:00,,0,2,"[Label(name=""oncall: export"")]"
114617,RNN argument order,2023-11-27 18:53:24+00:00,,1,5,"[Label(name=""module: nn""), Label(name=""triaged""), Label(name=""actionable"")]"
114602,[RFC] macOS x86 builds / test deprecation,2023-11-27 17:19:21+00:00,,0,4,"[Label(name=""module: binaries""), Label(name=""module: ci""), Label(name=""triaged""), Label(name=""module: macos"")]"
114592,DISABLED test_variant_consistency_eager_nn_functional_conv3d_cuda_complex64 (__main__.TestCommonCUDA),2023-11-27 09:39:36+00:00,,0,1,"[Label(name=""triaged""), Label(name=""module: flaky-tests""), Label(name=""skipped""), Label(name=""module: unknown"")]"
114591,Missing packaging dependency in torch 2.1.x,2023-11-27 09:20:17+00:00,,0,3,"[Label(name=""oncall: releng""), Label(name=""triaged""), Label(name=""module: tensorboard"")]"
114590,`torch.compiler.disable` causes a guard failure,2023-11-27 09:12:26+00:00,,0,0,"[Label(name=""triaged""), Label(name=""oncall: pt2""), Label(name=""module: dynamo"")]"
