function_name,param_names,param_types,is_optional,return_type,documentation_length
tf.edit_distance,"['hypothesis', 'truth', 'normalize', 'name']","['hypothesis', 'sequences', 'bool', 'name']","[False, False, False, True]",None,510
tf.histogram_fixed_width,"['values', 'value_range', 'nbins', 'dtype', 'name']","['numeric', 'dtype', 'bins', 'dtype', 'defaults']","[False, False, False, False, False]",None,370
tf.DeviceSpec,"['job', 'replica', 'task', 'device_type', 'device_index']","['job', 'index', 'index', 'cpu', 'device']","[True, True, True, True, True]",None,1184
tf.bitcast,['name'],['name'],[True],None,703
tf.RaggedTensor,"['values', 'row_splits', 'cached_row_lengths', 'cached_value_rowids', 'cached_nrows', 'internal']","['tensor', 'tensor', 'tensor', 'tensor', 'tensor', 'constructor']","[False, False, False, False, False, False]",None,12100
tf.py_function,"['func', 'inp', 'name']","['None', 'list', 'name']","[False, False, True]",None,824
tf.gather_nd,"['params', 'name', 'batch_dims']","['tensor', 'name', 'tensor']","[False, True, False]",None,1660
tf.where_v2,"['condition', 'x', 'y', 'name']","['bool', 'condition', 'condition', 'name']","[False, False, False, True]",None,348
tf.CriticalSection,"['fn', 'name']","['tensor', 'execute']","[False, False]",None,765
tf.div,"['x', 'y', 'name']","['numerator', 'denominator', 'name']","[False, False, True]",None,244
tf.TensorArraySpec,"['element_shape', 'dtype', 'dynamic_size', 'infer_shape']","['element', 'data', 'size', 'inference']","[False, False, False, False]",None,219
tf.model_variables,['scope'],['attribute'],[True],None,116
tf.eye,"['num_rows', 'num_columns', 'batch_shape', 'dtype', 'name']","['batch', 'batch', 'dimensions', 'element', 'defaults']","[False, True, False, False, False]",None,354
tf.expand_dims,"['input', 'axis', 'name', 'dim']","['tensor', 'rank', 'name', 'd']","[False, False, True, False]",None,524
tf.identity,"['input', 'name']","['tensor', 'name']","[False, True]",None,157
tf.enable_eager_execution,"['config', 'tf.contrib.eager.DEVICE_PLACEMENT_EXPLICIT', 'tf.contrib.eager.DEVICE_PLACEMENT_WARN', 'tf.contrib.eager.DEVICE_PLACEMENT_SILENT', 'tf.contrib.eager.DEVICE_PLACEMENT_SILENT_FOR_INT32', 'tf.contrib.eager.SYNC', 'tf.contrib.eager.ASYNC']","['environment', 'error', 'tensor', 'tensor', 'tensor', 'executes', 'executes']","[True, False, False, False, False, False, False]",None,593
tf.slice,"['input_', 'begin', 'size', 'name']","['tensor', 'int32', 'int32', 'name']","[False, False, False, True]",None,544
tf.SparseTensorSpec,"['shape', 'dtype']","['None', 'sparsetensor']","[False, False]",None,226
tf.zeros_like,"['tensor', 'dtype', 'name', 'optimize']","['tensor', 'bool', 'name', 'tensor']","[False, False, True, False]",None,239
tf.substr,"['input', 'len', 'name']","['str', 'characters', 'name']","[False, False, True]",None,794
tf.norm,"['tensor', 'keepdims', 'name', 'keep_dims']","['complex128', 'axis', 'name', 'alias']","[False, False, False, False]",tensor,721
tf.scatter_min,"['updates', 'use_locking', 'name']","['tensor', 'behavior', 'name']","[False, True, True]",None,412
tf.unique,"['x', 'name']","['tensor', 'name']","[False, True]",None,306
tf.linspace,"['stop', 'name']","['tensor', 'name']","[False, True]",None,261
tf.ensure_shape,"['x', 'shape', 'name']","['tensor', 'tensor', 'defaults']","[False, False, True]",None,381
tf.truncatemod,"['y', 'name']","['must', 'name']","[False, True]",None,165
tf.ConditionalAccumulator,"['dtype', 'shape', 'shared_name', 'name', 'reduction_type']","['datatype', 'gradients', 'accumulator', 'accumulator', 'gradient']","[False, False, True, True, False]",None,553
