Issue Title,Issue Body,Is Bug
torch dependencies aren't fully specified + pkg_resources import is slow triage review module: build triaged,"### 🐛 Describe the bug

In pytorch/torch_version.py, we do `from pkg_resources import packaging`.

https://github.com/pytorch/pytorch/blob/83b45fe1666fd8ecc697078ca99ff46dabe0286b/torch/torch_version.py#L3

This causes two problems:
- We have an undeclared runtime dependency on setuptools. Currently pytorch only has declared dependencies on typing_extensions and dataclasses: https://github.com/pytorch/pytorch/blob/83b45fe1666fd8ecc697078ca99ff46dabe0286b/setup.py#L409
- pkg_resources is a really slow import. It takes a full 1s on my laptop, sometimes longer depending on disk cache. Moreover, we're not actually using pkg_resources itself, we're using pkg_resource's vendored version of https://github.com/pypa/packaging

Possible fixes:
- Declare a dependency on `packaging` and replace `from pkg_resources import packaging` with `import packaging.version`. This makes torch imports much faster! :-)
- Don't declare a dependency on `packaging`, but try to import it, and fallback to `from pkg_resources import packaging`. This doesn't fix the undeclared dependency, but it does make `import torch` faster.
Another variation on this is to try to steal vendored `packaging` from a package that imports faster, e.g. `pip._vendor.packaging.version`.  We could combine that with fallback to `pkg_resources` as well.
- Vendor the appropriate code from `packaging.version`

### Versions

1.10.1

cc @malfet @seemethere",True
Segfault using `torch.unique` on tensor with NaNs with `dim=0` on PyTorch 1.10 high priority module: crash triaged module: regression,"### 🐛 Describe the bug

`torch.unique(torch.tensor([float(""nan"")]), dim=0)` yields a segfault on PyTorch 1.10 while working fine on 1.9.

### To reproduce the issue

```python
# segfaults in torch 1.10, works as expected in torch 1.9:
tensor_nan = torch.tensor([float(""nan"")])
assert torch.unique(tensor_nan, dim=0).numel() == 1
assert torch.isnan(torch.unique(tensor_nan, dim=0)[0])
```

### Additional comments

Note that when leaving `dim` to its default (`None`), the segfault does not occur, i.e.:
```python
# works as expected in both torch 1.10 and 1.9:
tensor_nan = torch.tensor([float(""nan"")])
assert torch.unique(tensor_nan, dim=None).numel() == 1
assert torch.isnan(torch.unique(tensor_nan, dim=None)[0])
```

The problem does not occur for `float(""inf"")`, i.e.:
```python
# works as expected in both torch 1.10 and 1.9:
tensor_inf = torch.tensor([float(""inf"")])
assert torch.unique(tensor_inf, dim=0).numel() == 1
assert torch.isinf(torch.unique(tensor_inf, dim=0)[0])
```

### Versions

```
PyTorch version: 1.10.1
Is debug build: False
CUDA used to build PyTorch: None
ROCM used to build PyTorch: N/A

OS: macOS 12.0.1 (x86_64)
GCC version: Could not collect
Clang version: 13.0.0 (clang-1300.0.29.30)
CMake version: Could not collect
Libc version: N/A

Python version: 3.8.12 | packaged by conda-forge | (default, Oct 12 2021, 21:50:56)  [Clang 11.1.0 ] (64-bit runtime)
Python platform: macOS-10.16-x86_64-i386-64bit
Is CUDA available: False
CUDA runtime version: No CUDA
GPU models and configuration: No CUDA
Nvidia driver version: No CUDA
cuDNN version: No CUDA
HIP runtime version: N/A
MIOpen runtime version: N/A

Versions of relevant libraries:
[pip3] torch==1.10.1
[conda] torch                     1.10.1                   pypi_0    pypi
```

cc @ezyang @gchanan @zou3519 @bdhirsh",True
Noisy warning raised by 'default_collate' triaged module: data,"### 🐛 Describe the bug

After upgrading pytorch version from 1.10.1 to the master branch (commit [d697bb4](https://github.com/pytorch/pytorch/commit/d697bb4220ff5ea8b46591cc082583bbf1a294a4)), `torch.utils.data._utils.collate.default_collate` raises the below noisy warning repeatedly:

```
UserWarning: An output with one or more elements was resized since it had shape [10], which does not
match the required output shape [2, 5].This behavior is deprecated, and in a future PyTorch release outputs will
not be resized unless they have zero elements. You can explicitly reuse an out tensor t by resizing it, inplace,
to zero elements with t.resize_(0).
```
The warning is original from [Resize.cpp](https://github.com/pytorch/pytorch/blob/master/aten/src/ATen/native/Resize.cpp#L11-L27) and triggered by [these lines](https://github.com/pytorch/pytorch/blob/master/torch/utils/data/_utils/collate.py#L130-L138) of `default_colloate`:

```
    elem = batch[0]
    elem_type = type(elem)
    if isinstance(elem, torch.Tensor):
        out = None
        if torch.utils.data.get_worker_info() is not None:
            # If we're in a background process, concatenate directly into a
            # shared memory tensor to avoid an extra copy
            numel = sum(x.numel() for x in batch)
            storage = elem.storage()._new_shared(numel)
            out = elem.new(storage)
        return torch.stack(batch, 0, out=out)
```

In case `default_collate` runs in background/worker process (torch.utils.data.get_worker_info() returns something), `out` is always a 1D tensor, but `batch` may has higher rank, thus a resize operation happens inside the `torch.stack` operation, which triggers the warning.

### Versions

Master branch (commit [d697bb4](https://github.com/pytorch/pytorch/commit/d697bb4220ff5ea8b46591cc082583bbf1a294a4))

# To Reproduce
Use this code snippet to reproduce the problem:

```
import torch

a, b = torch.randn([5]), torch.randn([5])
batch = [a, b]
elem = batch[0]

# In case torch.utils.data.get_worker_info() is not None
numel = sum(x.numel() for x in batch)
storage = elem.storage()._new_shared(numel)
out = elem.new(storage)

torch.stack(batch, 0, out=out)
```

# Expected behavior
No warning raises.

# Workaround

```
    elem = batch[0]
    elem_type = type(elem)
    if isinstance(elem, torch.Tensor):
        out = None
        if torch.utils.data.get_worker_info() is not None:
            # If we're in a background process, concatenate directly into a
            # shared memory tensor to avoid an extra copy
            numel = sum(x.numel() for x in batch)
            storage = elem.storage()._new_shared(numel)

            # reshape `out` before passing to torch.stack
            out = elem.new(storage).view(-1, *list(elem.size()))  

        return torch.stack(batch, 0, out=out)
```

Test code:

```
import torch

a, b = torch.randn([5]), torch.randn([5])
batch = [a, b]
elem = batch[0]

# In case torch.utils.data.get_worker_info() is not None
numel = sum(x.numel() for x in batch)
storage = elem.storage()._new_shared(numel)
out = elem.new(storage).view(-1, *list(elem.size()))

torch.stack(batch, 0, out=out)
```

cc @VitalyFedyunin @ejguan @NivekT",True
Get rid of the blocking call in RRefProxy oncall: distributed module: bootcamp triaged module: rpc,"RRefProxy (`rref.rpc_async`, `rref.rpc_sync`, `rref.remote`) currently uses a blocking RPC call to the owner 


https://github.com/pytorch/pytorch/blob/885a8e53bab50b1ac53e6c140cc0a9953e7e288e/torch/distributed/rpc/rref_proxy.py#L15-L19

https://github.com/pytorch/pytorch/blob/885a8e53bab50b1ac53e6c140cc0a9953e7e288e/torch/distributed/rpc/api.py#L409-L419

This violates the promise of `rpc_async` and `remote` being non-blocking. Instead, we should use the async call, and chain the remaining code in `_invoke_rpc` as a callback. 

cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @osalpekar @jiayisuse @SciPioneer @H-Huang @jjlilley @mrzzd",True
channels_last significantly degrades accuracy high priority module: cuda triaged module: regression module: memory format,"## 🐛 Bug

Moving a simple ResNet model and CIFAR images to channels_last format significantly degrades accuracy (by 6+%).

## To Reproduce

Steps to reproduce the behavior:

1. Download this script: https://gist.github.com/andrewilyas/ac844f3368c97e6d55e40209d2070557
2. Run ``python train.py 1`` and ``python train.py 2`` 
3. The only difference between the two runs is 3 lines that move the images and model to channels_last, but the difference in accuracy is significant (84% for channels_last and 91% for contiguous)

## Expected behavior

The two runs should produce identical results since the only difference between them is the memory format of the model and images.

## Environment

Output of collect_environment.py:

```
PyTorch version: 1.10.0+cu113
Is debug build: False
CUDA used to build PyTorch: 11.3
ROCM used to build PyTorch: N/A

OS: Ubuntu 18.04.5 LTS (x86_64)
GCC version: (Ubuntu 7.5.0-3ubuntu1~18.04) 7.5.0
Clang version: Could not collect
CMake version: version 3.10.2
Libc version: glibc-2.27

Python version: 3.8.0 (default, Nov  6 2019, 21:49:08)  [GCC 7.3.0] (64-bit runtime)
Python platform: Linux-4.15.0-159-generic-x86_64-with-glibc2.10
Is CUDA available: True
CUDA runtime version: Could not collect
GPU models and configuration:
GPU 0: A100-PCIE-40GB
GPU 1: A100-PCIE-40GB
GPU 2: A100-PCIE-40GB
GPU 3: A100-PCIE-40GB
GPU 4: A100-PCIE-40GB
GPU 5: A100-PCIE-40GB
GPU 6: A100-PCIE-40GB
GPU 7: A100-PCIE-40GB
GPU 8: A100-PCIE-40GB

Nvidia driver version: 460.91.03
cuDNN version: Could not collect
HIP runtime version: N/A
MIOpen runtime version: N/A

Versions of relevant libraries:
[pip3] msgpack-numpy==0.4.7.1
[pip3] mypy==0.812
[pip3] mypy-extensions==0.4.3
[pip3] numpy==1.20.3
[pip3] torch==1.10.0+cu113
[pip3] torchaudio==0.10.0+cu113
[pip3] torchmetrics==0.5.1
[pip3] torchvision==0.11.1+cu113
[conda] blas                      1.0                         mkl
[conda] cpuonly                   2.0                           0    pytorch
[conda] cudatoolkit               11.2.2               he111cf0_8    conda-forge
[conda] ffmpeg                    4.3                  hf484d3e_0    pytorch
[conda] mkl                       2021.3.0           h06a4308_520
[conda] mkl-service               2.4.0            py38h7f8727e_0
[conda] mkl_fft                   1.3.1            py38hd3c417c_0
[conda] mkl_random                1.2.2            py38h51133e4_0
[conda] numpy                     1.20.3                   pypi_0    pypi
[conda] pytorch-mutex             1.0                         cpu    pytorch
[conda] torch                     1.10.0+cu113             pypi_0    pypi
[conda] torchaudio                0.10.0+cu113             pypi_0    pypi
[conda] torchmetrics              0.5.1                    pypi_0    pypi
[conda] torchvision               0.11.1                   pypi_0    pypi
```


cc @ezyang @gchanan @zou3519 @bdhirsh @jbschlosser @ngimel @VitalyFedyunin @jamesr66a",True
Error in icdf method of TransformedDistribution module: distributions triaged OSS contribution wanted,"## 🐛 Bug

`TransformedDistribution.icdf` should perform validation _after_ applying the inverse transformation rather than before.

## To Reproduce

Running the following snippet
```python
from math import log
import torch

class TorchLogUniform(torch.distributions.TransformedDistribution):
    def __init__(self, lb, ub):
        super(TorchLogUniform, self).__init__(
            torch.distributions.Uniform(lb.log(), ub.log()),
            torch.distributions.ExpTransform(),
        )

lu = TorchLogUniform(torch.tensor(1e8), torch.tensor(1e10))
lu.icdf(torch.tensor(0.1))
```
...produces this error:
```python
...
~/.pyenv/versions/3.9.2/envs/lens-3.9.2/lib/python3.9/site-packages/torch/distributions/distribution.py in _validate_sample(self, value)
    275         assert support is not None
    276         if not support.check(value).all():
--> 277             raise ValueError('The value argument must be within the support')
    278 
    279     def _get_checked_instance(self, cls, _instance=None):

ValueError: The value argument must be within the support
```

## Expected behavior

`icdf` should work for inputs between zero and 1.

The fix is simple: [this validation check](https://github.com/pytorch/pytorch/blob/c371542efc31b1abfe6f388042aa3ab0cef935f2/torch/distributions/transformed_distribution.py#L184) should follow the `for` loop. I'd be happy to submit a PR.

cc @fritzo @neerajprad @alicanb @nikitaved",True
test_addr_type_promotion in test_linalg takes too long module: ci module: tests triaged,"test_addr_type_promotion generates tests for all possible dtype triplets (12^3 tests per each device). While cpu tests run quickly, each of ~1700 CUDA tests takes an appreciable amount of time, adding up to more than 2 minutes(compared to ~10 minutes for all of test_linalg). 
On my local run, all of test_linalg
```
----------------------------------------------------------------------
Ran 7545 tests in 590.081s

OK (skipped=1464)
```
filtered only test_addr_type_promotion:
```
----------------------------------------------------------------------
Ran 5184 tests in 157.534s

OK (skipped=728)
```

cc @seemethere @malfet @pytorch/pytorch-dev-infra @mruberry",True
Multiplication of scalar COO sparse tensors leads to internal assert failure module: sparse triaged module: assert failure,"## 🐛 Bug

As in the title.

## To Reproduce

```python
>>> import torch
>>> t = torch.tensor(1).to_sparse()
>>> t
tensor(indices=tensor([], size=(0, 1)),
       values=tensor([1]),
       size=(), nnz=1, layout=torch.sparse_coo)
>>> t * t
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
RuntimeError: r.is_sparse()INTERNAL ASSERT FAILED at ""../aten/src/ATen/native/sparse/SparseTensorMath.cpp"":54, please report a bug to PyTorch. 
```

## Expected behavior

No internal assert failure.

In addition, the multiplication should succeed:
```python
>>> t * t
tensor(indices=tensor([], size=(0, 1)),
       values=tensor([1]),
       size=(), nnz=1, layout=torch.sparse_coo)
```

## Environment

- PyTorch Version (e.g., 1.0): 1.10.0a0

## Additional context

Notice that the addition of scalar COO tensors works correctly
```python
>>> t + t
tensor(indices=tensor([], size=(0, 1)),
       values=tensor([2]),
       size=(), nnz=1, layout=torch.sparse_coo)
```


cc @nikitaved @pearu @cpuhrsch @IvanYashchuk",True
tensor_split does not handle non-contiguous indices high priority triaged module: memory format,"## 🐛 Bug

torch.tensor_split does not produce the same outputs for non-contiguous tensors as for contiguous, see repro below.

## To Reproduce

Steps to reproduce the bug:

```python
inner_indices = torch.tensor([[564,   0],
        [564,   0],
        [564,   0],
        [564,   1],
        [565,   1],
        [566,   0],
        [566,   0],
        [566,   0],
        [566,   0],
        [566,   0],
        [566,   0],
        [566,   1],
        [567,   0],
        [567,   0],
        [567,   0],
        [567,   0],
        [567,   0],
        [567,   1],
        [568,   0],
        [568,   0],
        [568,   0],
        [568,   1],
        [569,   0],
        [569,   0],
        [569,   0],
        [569,   1],
        [570,   0],
        [570,   0],
        [570,   0],
        [570,   0],
        [570,   0]])
data = torch.tensor([4, 4, 4, 4, 4, 4], dtype=torch.int32)
for u, v in zip(torch.tensor_split(data, inner_indices[:, 1]),
                torch.tensor_split(data, inner_indices[:, 1].contiguous())):
    if u.shape != v.shape:
        print(u, v)
```

Output:
```
tensor([4, 4, 4, 4, 4, 4], dtype=torch.int32) tensor([], dtype=torch.int32)
tensor([4, 4, 4, 4, 4, 4], dtype=torch.int32) tensor([4], dtype=torch.int32)
tensor([4, 4, 4, 4, 4, 4], dtype=torch.int32) tensor([], dtype=torch.int32)
tensor([4, 4, 4, 4, 4], dtype=torch.int32) tensor([], dtype=torch.int32)
tensor([4, 4, 4, 4, 4], dtype=torch.int32) tensor([], dtype=torch.int32)
tensor([4, 4, 4, 4, 4, 4], dtype=torch.int32) tensor([4], dtype=torch.int32)
tensor([4, 4, 4, 4, 4, 4], dtype=torch.int32) tensor([], dtype=torch.int32)
tensor([4, 4, 4, 4, 4, 4], dtype=torch.int32) tensor([], dtype=torch.int32)
tensor([4, 4, 4, 4, 4, 4], dtype=torch.int32) tensor([4], dtype=torch.int32)
tensor([4, 4, 4, 4, 4, 4], dtype=torch.int32) tensor([], dtype=torch.int32)
tensor([4, 4, 4, 4, 4, 4], dtype=torch.int32) tensor([4], dtype=torch.int32)
tensor([4, 4, 4, 4, 4], dtype=torch.int32) tensor([], dtype=torch.int32)
tensor([4, 4, 4, 4, 4, 4], dtype=torch.int32) tensor([4], dtype=torch.int32)
tensor([4, 4, 4, 4, 4, 4], dtype=torch.int32) tensor([], dtype=torch.int32)
tensor([4, 4, 4, 4, 4, 4], dtype=torch.int32) tensor([], dtype=torch.int32)
```

## Expected behavior

Output should be the same for contiguous and non-contiguous tensors.

## Environment

Tested in stable 1.9 and nightly '1.10.0.dev20210814+cpu'.

cc @ezyang @gchanan @zou3519 @bdhirsh @jbschlosser @anjali411 @VitalyFedyunin @jamesr66a @ppwwyyxx",True
BatchNorm2d + SyncBatchNorm incorrect multi gpu behaviour in 1.10.0 (tested working in 1.8.0) module: nn triaged,"## 🐛 Bug

SyncBatchNorm layers in torch 1.10.0 give different outputs on 2 gpus vs the equivalent BatchNorm layer on a single gpu. This wasn't a problem in torch 1.8.0

## To Reproduce
This code is based on the [PyTorch DDP demo](https://pytorch.org/tutorials/intermediate/ddp_tutorial.html) but the model consists only of a `BatchNorm2d` layer.

```python
import os
import torch
import torch.distributed as dist
import torch.nn as nn
import torch.multiprocessing as mp

from torch.nn.parallel import DistributedDataParallel as DDP
import argparse


def setup(rank, world_size):
    torch.manual_seed(0)
    os.environ[""MASTER_ADDR""] = ""localhost""
    os.environ[""MASTER_PORT""] = ""12355""

    # iniialize the process group
    dist.init_process_group(""gloo"", rank=rank, world_size=world_size)


def cleanup():
    dist.destroy_process_group()


class ToyModel(nn.Module):
    def __init__(self, num_features=10):
        super().__init__()
        self.bn = nn.BatchNorm2d(num_features=num_features)

    def forward(self, x):
        x = x.permute(0, 2, 1, 3)
        x = self.bn(x)
        x = x.permute(0, 2, 1, 3)
        return x


def demo_basic(rank, world_size, convert_sync_batchnorm):
    print(f""Running basic DDP example on rank {rank}."")
    setup(rank, world_size)

    # create model and move it to GPU with id rank
    model = ToyModel(num_features=10)
    # create model and move it to GPU with id rank
    if world_size > 1 and convert_sync_batchnorm:
        print(""Converting BatchNorm to SyncBatchNorm"")
        model = torch.nn.SyncBatchNorm.convert_sync_batchnorm(model)

    model = model.to(rank)
    if world_size > 1:
        ddp_model = DDP(model, device_ids=[rank])
        model = ddp_model

    inputs = torch.randn(2, 2, 10, 1).to(rank)
    print(f""{rank=}, {inputs[0, 0].squeeze()=}"")
    outputs = model(inputs)
    print(f""{rank=}, {outputs[0, 0].squeeze()=}"")

    cleanup()


def run_demo(demo_fn, world_size, convert_bn):
    if world_size > 1:
        mp.spawn(demo_fn, args=(world_size, convert_bn), nprocs=world_size, join=True)
    else:
        demo_fn(0, world_size, convert_bn)


if __name__ == ""__main__"":
    parser = argparse.ArgumentParser()
    parser.add_argument(""--n_gpus"", default=2, type=int, help=""Number of gpus"")
    parser.add_argument(
        ""--convert_bn"",
        action=""store_true"",
        default=False,
        help=""Whether to convert BatchNorm layers to SyncBatchNorm"",
    )

    args = parser.parse_args()

    print(f""{torch.__version__=}"")
    run_demo(demo_basic, args.n_gpus, args.convert_bn)
```

### Torch 1.10.0a0+git63955b3

#### 1 - 2 gpus, convert to `SyncBatchNorm`
```
python3 ddp_demo.py --n_gpus 2 --convert_bn
torch.__version__='1.10.0a0+git63955b3'
Running basic DDP example on rank 0.
Running basic DDP example on rank 1.
Converting BatchNorm to SyncBatchNorm
Converting BatchNorm to SyncBatchNorm
rank=1, inputs[0, 0].squeeze()=tensor([-1.1258, -1.1524, -0.2506, -0.4339,  0.8487,  0.6920, -0.3160, -2.1152,
         0.3223, -1.2633], device='cuda:1')
rank=0, inputs[0, 0].squeeze()=tensor([-1.1258, -1.1524, -0.2506, -0.4339,  0.8487,  0.6920, -0.3160, -2.1152,
         0.3223, -1.2633], device='cuda:0')
rank=1, outputs[0, 0].squeeze()=tensor([-1.6701, -0.7058,  0.7740,  0.1321,  0.6478,  0.2026, -0.1025,  1.0656,
        -1.3900,  0.9416], device='cuda:1', grad_fn=<SqueezeBackward0>)
rank=0, outputs[0, 0].squeeze()=tensor([-1.6701, -0.7058,  0.7740,  0.1321,  0.6478,  0.2026, -0.1025,  1.0656,
        -1.3900,  0.9416], device='cuda:0', grad_fn=<SqueezeBackward0>)
```

#### 2 - 2 gpus, do not convert to `SyncBatchNorm`
```
python3 ddp_demo.py --n_gpus 2
torch.__version__='1.10.0a0+git63955b3'
Running basic DDP example on rank 0.
Running basic DDP example on rank 1.
rank=1, inputs[0, 0].squeeze()=tensor([-1.1258, -1.1524, -0.2506, -0.4339,  0.8487,  0.6920, -0.3160, -2.1152,
         0.3223, -1.2633], device='cuda:1')
rank=0, inputs[0, 0].squeeze()=tensor([-1.1258, -1.1524, -0.2506, -0.4339,  0.8487,  0.6920, -0.3160, -2.1152,
         0.3223, -1.2633], device='cuda:0')
rank=1, outputs[0, 0].squeeze()=tensor([-1.6701, -0.7582, -0.7058, -1.2356,  0.7740,  1.4852,  0.1321, -1.1821,
         0.6478, -1.1941], device='cuda:1', grad_fn=<SqueezeBackward0>)
rank=0, outputs[0, 0].squeeze()=tensor([-1.6701, -0.7582, -0.7058, -1.2356,  0.7740,  1.4852,  0.1321, -1.1821,
         0.6478, -1.1941], device='cuda:0', grad_fn=<SqueezeBackward0>)
```

#### 3 - 1 gpu
```
python3 ddp_demo.py --n_gpus 1
torch.__version__='1.10.0a0+git63955b3'
Running basic DDP example on rank 0.
False
rank=0, inputs[0, 0].squeeze()=tensor([-1.1258, -1.1524, -0.2506, -0.4339,  0.8487,  0.6920, -0.3160, -2.1152,
         0.3223, -1.2633], device='cuda:0')
rank=0, outputs[0, 0].squeeze()=tensor([-1.6701, -0.7582, -0.7058, -1.2356,  0.7740,  1.4852,  0.1321, -1.1821,
         0.6478, -1.1941], device='cuda:0', grad_fn=<SqueezeBackward0>)
```

1 != 2 ❌
2 == 3 ✅

### Torch 1.8.0a0+618cf40

#### 1 - 2 gpus, convert to `SyncBatchNorm`
```
python3 ddp_demo.py --n_gpus 2 --convert_bn
torch.__version__='1.8.0a0+618cf40'
Running basic DDP example on rank 0.
Running basic DDP example on rank 1.
Converting BatchNorm to SyncBatchNorm
Converting BatchNorm to SyncBatchNorm
rank=1, inputs[0, 0].squeeze()=tensor([-1.1258, -1.1524, -0.2506, -0.4339,  0.8487,  0.6920, -0.3160, -2.1152,
         0.3223, -1.2633], device='cuda:1')
rank=0, inputs[0, 0].squeeze()=tensor([-1.1258, -1.1524, -0.2506, -0.4339,  0.8487,  0.6920, -0.3160, -2.1152,
         0.3223, -1.2633], device='cuda:0')
rank=0, outputs[0, 0].squeeze()=tensor([-1.6701, -0.7582, -0.7058, -1.2356,  0.7740,  1.4852,  0.1321, -1.1821,
         0.6478, -1.1941], device='cuda:0', grad_fn=<SqueezeBackward0>)
rank=1, outputs[0, 0].squeeze()=tensor([-1.6701, -0.7582, -0.7058, -1.2356,  0.7740,  1.4852,  0.1321, -1.1821,
         0.6478, -1.1941], device='cuda:1', grad_fn=<SqueezeBackward0>)
```

#### 2 - 2 gpus, do not convert to `SyncBatchNorm`
```
python3 ddp_demo.py --n_gpus 2
torch.__version__='1.8.0a0+618cf40'
Running basic DDP example on rank 0.
Running basic DDP example on rank 1.
rank=0, inputs[0, 0].squeeze()=tensor([-1.1258, -1.1524, -0.2506, -0.4339,  0.8487,  0.6920, -0.3160, -2.1152,
         0.3223, -1.2633], device='cuda:0')
rank=1, inputs[0, 0].squeeze()=tensor([-1.1258, -1.1524, -0.2506, -0.4339,  0.8487,  0.6920, -0.3160, -2.1152,
         0.3223, -1.2633], device='cuda:1')
rank=1, outputs[0, 0].squeeze()=tensor([-1.6701, -0.7582, -0.7058, -1.2356,  0.7740,  1.4852,  0.1321, -1.1821,
         0.6478, -1.1941], device='cuda:1', grad_fn=<SqueezeBackward0>)
rank=0, outputs[0, 0].squeeze()=tensor([-1.6701, -0.7582, -0.7058, -1.2356,  0.7740,  1.4852,  0.1321, -1.1821,
         0.6478, -1.1941], device='cuda:0', grad_fn=<SqueezeBackward0>)
```

#### 3 - 1 gpu
```
python3 ddp_demo.py --n_gpus 1
torch.__version__='1.8.0a0+618cf40'
Running basic DDP example on rank 0.
rank=0, inputs[0, 0].squeeze()=tensor([-1.1258, -1.1524, -0.2506, -0.4339,  0.8487,  0.6920, -0.3160, -2.1152,
         0.3223, -1.2633], device='cuda:0')
rank=0, outputs[0, 0].squeeze()=tensor([-1.6701, -0.7582, -0.7058, -1.2356,  0.7740,  1.4852,  0.1321, -1.1821,
         0.6478, -1.1941], device='cuda:0', grad_fn=<SqueezeBackward0>)
```

1 == 2 == 3 ✅

<!-- If you have a code sample, error messages, stack traces, please provide it here as well -->

## Expected behavior

I expect the behaviour in torch 1.10.0 to mirror that in 1.8.0 where options 1, 2 and 3 all produce the same output.

## Environment

Please copy and paste the output from our
[environment collection script](https://raw.githubusercontent.com/pytorch/pytorch/master/torch/utils/collect_env.py)
(or fill out the checklist below manually).

You can get the script and run it with:
```
wget https://raw.githubusercontent.com/pytorch/pytorch/master/torch/utils/collect_env.py
# For security purposes, please check the contents of collect_env.py before running it.
python collect_env.py
```

### Torch 1.10.0a0+git63955b3 Env info
```bash
Collecting environment information...
PyTorch version: 1.10.0a0+git63955b3
Is debug build: False
CUDA used to build PyTorch: 11.2
ROCM used to build PyTorch: N/A

OS: Ubuntu 18.04.5 LTS (x86_64)
GCC version: (Ubuntu 7.5.0-3ubuntu1~18.04) 7.5.0
Clang version: Could not collect
CMake version: version 3.21.1
Libc version: glibc-2.27

Python version: 3.8.11 (default, Jul  3 2021, 17:53:42)  [GCC 7.5.0] (64-bit runtime)
Python platform: Linux-5.4.0-65-generic-x86_64-with-glibc2.27
Is CUDA available: False
CUDA runtime version: 11.2.152
GPU models and configuration: Could not collect
Nvidia driver version: Could not collect
cuDNN version: Probably one of the following:
/usr/lib/x86_64-linux-gnu/libcudnn.so.8.1.1
/usr/lib/x86_64-linux-gnu/libcudnn_adv_infer.so.8.1.1
/usr/lib/x86_64-linux-gnu/libcudnn_adv_train.so.8.1.1
/usr/lib/x86_64-linux-gnu/libcudnn_cnn_infer.so.8.1.1
/usr/lib/x86_64-linux-gnu/libcudnn_cnn_train.so.8.1.1
/usr/lib/x86_64-linux-gnu/libcudnn_ops_infer.so.8.1.1
/usr/lib/x86_64-linux-gnu/libcudnn_ops_train.so.8.1.1
HIP runtime version: N/A
MIOpen runtime version: N/A

Versions of relevant libraries:
[pip3] numpy==1.21.1
[pip3] pytorch-memlab==0.2.3
[pip3] torch==1.10.0a0+git63955b3
[pip3] torch-tb-profiler==0.2.1
[pip3] torchaudio==0.9.0a0-jit-kaldi-fa498ad
[pip3] torchpq==0.1.8.3
[pip3] torchsummary==1.5.1
[pip3] torchvision==0.10.0

```

### Torch 1.8.0a0+618cf40 Env info
```bash
Collecting environment information...
PyTorch version: 1.8.0a0+618cf40
Is debug build: False
CUDA used to build PyTorch: 11.2
ROCM used to build PyTorch: N/A

OS: Ubuntu 18.04.5 LTS (x86_64)
GCC version: (Ubuntu 7.5.0-3ubuntu1~18.04) 7.5.0
Clang version: Could not collect
CMake version: version 3.21.1
Libc version: glibc-2.27

Python version: 3.8.11 (default, Jul  3 2021, 17:53:42)  [GCC 7.5.0] (64-bit runtime)
Python platform: Linux-5.4.0-65-generic-x86_64-with-glibc2.27
Is CUDA available: False
CUDA runtime version: 11.2.152
GPU models and configuration: Could not collect
Nvidia driver version: Could not collect
cuDNN version: Probably one of the following:
/usr/lib/x86_64-linux-gnu/libcudnn.so.8.1.1
/usr/lib/x86_64-linux-gnu/libcudnn_adv_infer.so.8.1.1
/usr/lib/x86_64-linux-gnu/libcudnn_adv_train.so.8.1.1
/usr/lib/x86_64-linux-gnu/libcudnn_cnn_infer.so.8.1.1
/usr/lib/x86_64-linux-gnu/libcudnn_cnn_train.so.8.1.1
/usr/lib/x86_64-linux-gnu/libcudnn_ops_infer.so.8.1.1
/usr/lib/x86_64-linux-gnu/libcudnn_ops_train.so.8.1.1
HIP runtime version: N/A
MIOpen runtime version: N/A

Versions of relevant libraries:
[pip3] numpy==1.21.1
[pip3] pytorch-memlab==0.2.3
[pip3] torch==1.8.0a0+618cf40
[pip3] torchaudio==0.9.0a0-jit-kaldi-fa498ad
[pip3] torchpq==0.1.8.3
[pip3] torchsummary==1.5.1
[pip3] torchvision==0.10.0
[conda] Could not collect
``` 


cc @albanD @mruberry @jbschlosser",True
