Issue Number,Issue Title,Issue Body
111936,[dynamo] `AutogradFunctionMethodHigherOrderVariable` may not properly guard kwargs,"### 🐛 Describe the bug

We will run `AutogradFunctionMethodHigherOrderVariable` within dynamo even though its kwargs are constant but we do not ensure that we guard on those constants.

I'm not entirely sure how to construct a scenario in which we can provide args that are constant but not guarded (or whose constant value is not guarded).

For instance, this may be some constant attribute of `nn.Module` which I don't think we currently guard... :thinking: 

### Versions

main"
111934,[dynamo] `CondHigherOrderVariable` should handle kwargs by flattening to args,"### 🚀 The feature, motivation and pitch

Currently, I believe it is not flattened. We throw an error if len(args) != 4

However, users may do something like the following:

```python
torch.cond(pred=True, true_fn=lambda x: x +1, false_fn=lambda x: x - 1, operands=(torch.tensor([0]),))
```
Causing a graph break when it could have been trivially traced within dynamo
"
111932,Pruning/Compressing heads in attention blocks,"### 🚀 The feature, motivation and pitch

I've a conceptual question

BERT-base has a dimension of 768 for query, key and value and 12 heads (Hidden dimension=768, number of heads=12). The same is conveyed if we see the BERT-base architecture

```
(self): BertSelfAttention(
              (query): Linear(in_features=768, out_features=768, bias=True)
              (key): Linear(in_features=768, out_features=768, bias=True)
              (value): Linear(in_features=768, out_features=768, bias=True)
              (dropout): Dropout(p=0.1, inplace=False)
)
```
Now, my question is:

Can I consider the first 64 neurons from the _out_features_ as the first-head, the next 64 neurons from the _out_features_ as the 2nd head and so on? (sec 3.2.2 from original paper; [Link](https://papers.nips.cc/paper/2017/file/3f5ee243547dee91fbd053c1c4a845aa-Paper.pdf))

Basically, I am wondering if the Linear module representing query matrix; which is 768x768 can be thought as (768x64), (768x64)...12 times? The same for key and value modules

If so, is it possible to provide some starter code as I am unable to wrap around my head. Any help is appreciated (and I've some sample in the contribution section)

**P.S:** Here's the issue from StackOverflow ([link](https://datascience.stackexchange.com/questions/124233/understanding-multi-headed-attention-from-architecture-details))

### Alternatives

Example applications include papers from academia such as - [Paper1](https://lena-voita.github.io/posts/acl19_heads.html), [Paper2](https://github.com/pmichel31415/are-16-heads-really-better-than-1)

I referred to some of the previous posts ([link](https://datascience.stackexchange.com/questions/88330/how-do-the-linear-layers-in-the-attention-mechanism-work)), but I would appreciate any validation on this thought-process as it's similar but not same.

### Additional context

Here's a code which prunes a particular % in particular layer depending on _layer_index_ and _prune_percentage_
```
model = AutoModelForMaskedLM.from_pretrained(checkpoint)
linear_layers_list = []
for name, layer in model.named_modules():
    if name in model_layers_list:
        linear_layers_list.append(layer)
print(f""No of linear layers are: {len(linear_layers_list)}"")

layer = linear_layers_list[layer_index]
if prune_type == 'ln_structured':
    # Ln structured with n=1 i.e L1 pruning
    prune.ln_structured(layer, name='weight', amount=prune_percentage, dim=0, n=n)
```
I can understand that I can basically pass the Linear module and prune x% of weights.

Now, I would like to prune/remove one head in a similar fashion.

P.S: Raised a request in Huggingface as well, happy to close both ([Issue link](https://github.com/huggingface/transformers/issues/27044))
Thanks
```[tasklist]
### Tasks
```
"
111931,[opcheck] Faster gradcheck execution,"### 🐛 Describe the bug

Running opcheck on gradcheck is pretty slow. We have a workaround for this in https://github.com/pytorch/FBGEMM/blob/f94254d24f8dc733a0a8c233e5ca368f0be04989/fbgemm_gpu/test/test_utils.py#L285 but it should be upstreamed to PT

### Versions

main

cc @zou3519"
111930,[opcheck] Way to reduce Hypothesis sampling when running opcheck,"### 🐛 Describe the bug

Hypothesis sampling is very slow and typically it's pointless for a meta function test. It would greatly speedup opcheck tests if we can get rid of it.

@zou3519 says it's hard, because Hypothesis doesn't let you override settings. Maybe need to do some source code reading.

### Versions

main

cc @zou3519"
111928,DISABLED test_meta_inplace_addmm_cpu_complex64 (__main__.TestMetaCPU),"Platforms: dynamo

This test was disabled because it is failing in CI. See [recent examples](https://hud.pytorch.org/flakytest?name=test_meta_inplace_addmm_cpu_complex64&suite=TestMetaCPU) and the most recent trunk [workflow logs](https://github.com/pytorch/pytorch/runs/17999233458).

Over the past 3 hours, it has been determined flaky in 2 workflow(s) with 6 failures and 2 successes.

**Debugging instructions (after clicking on the recent samples link):**
DO NOT ASSUME THINGS ARE OKAY IF THE CI IS GREEN. We now shield flaky tests from developers so CI will thus be green but it will be harder to parse the logs.
To find relevant log snippets:
1. Click on the workflow logs linked above
2. Click on the Test step of the job so that it is expanded. Otherwise, the grepping will not work.
3. Grep for `test_meta_inplace_addmm_cpu_complex64`
4. There should be several instances run (as flaky tests are rerun in CI) from which you can study the logs.


Test file path: `test_meta.py`

cc @ezyang @mruberry @Lezcano @peterbell10 @msaroufim @wconstab @bdhirsh @anijain2305 @zou3519"
111927,DISABLED test_abs_backward_cpu (__main__.TestNestedTensorAutogradCPU),"Platforms: dynamo

This test was disabled because it is failing in CI. See [recent examples](https://hud.pytorch.org/flakytest?name=test_abs_backward_cpu&suite=TestNestedTensorAutogradCPU) and the most recent trunk [workflow logs](https://github.com/pytorch/pytorch/runs/17999233694).

Over the past 3 hours, it has been determined flaky in 2 workflow(s) with 6 failures and 2 successes.

**Debugging instructions (after clicking on the recent samples link):**
DO NOT ASSUME THINGS ARE OKAY IF THE CI IS GREEN. We now shield flaky tests from developers so CI will thus be green but it will be harder to parse the logs.
To find relevant log snippets:
1. Click on the workflow logs linked above
2. Click on the Test step of the job so that it is expanded. Otherwise, the grepping will not work.
3. Grep for `test_abs_backward_cpu`
4. There should be several instances run (as flaky tests are rerun in CI) from which you can study the logs.


Test file path: `test_nestedtensor.py`

cc @cpuhrsch @jbschlosser @bhosmer @drisspg @soulitzer @ezyang @msaroufim @wconstab @bdhirsh @anijain2305 @zou3519"
111926,[opcheck] No easy way to initialize a blank failures dict,"### 🐛 Describe the bug

When I say PYTORCH_OPCHECK_ACCEPT=1 and the failures dict is an empty file I expect it to initialize it with the default template, but instead it chokes saying that the json is invalid

### Versions

main

cc @zou3519"
111925,Resize warning in two argument torch.logical_* with broadcasting,"### 🐛 Describe the bug

`torch.logical_*` operations that operate on two tensors raise a warning whenever the output has a larger number of elements than the first argument. The corresponding `torch.bitwise_*` operators do not raise this warning.

Example with `torch.logical_and` bellow:

```python
import torch

a = torch.randn(4, 2, 128) < 0
b = torch.randn(2, 128) < 0

# No warning
torch.bitwise_and(a, b)
# Raises warning
torch.bitwise_and(b, a)

# No warning
torch.logical_and(a, b)
# Raises warning
torch.logical_and(b, a)

# No warning
torch.logical_and(*torch.broadcast_tensors(b, a))
```


Result:
```
UserWarning: An output with one or more elements was resized since it had shape [2, 128], which does not match the required output shape [4, 2, 128]. This behavior is deprecated, and in a future PyTorch release outputs will not be resized unless they have zero elements. You can explicitly reuse an out tensor t by resizing it, inplace, to zero elements with t.resize_(0). (Triggered internally at /opt/conda/conda-bld/pytorch_1695392022560/work/aten/src/ATen/native/Resize.cpp:28.)
  torch.logical_and(b, a)
```

### Versions

PyTorch version: 2.1.0
Is debug build: False
CUDA used to build PyTorch: 11.8
ROCM used to build PyTorch: N/A

OS: Ubuntu 18.04.6 LTS (x86_64)
GCC version: (Ubuntu 7.5.0-3ubuntu1~18.04) 7.5.0
Clang version: Could not collect
CMake version: Could not collect
Libc version: glibc-2.27

Python version: 3.9.18 (main, Sep 11 2023, 13:41:44)  [GCC 11.2.0] (64-bit runtime)
Python platform: Linux-5.4.0-1103-aws-x86_64-with-glibc2.27
Is CUDA available: True
CUDA runtime version: Could not collect
CUDA_MODULE_LOADING set to: LAZY
GPU models and configuration: GPU 0: NVIDIA A10G
Nvidia driver version: 470.182.03
cuDNN version: Could not collect
HIP runtime version: N/A
MIOpen runtime version: N/A
Is XNNPACK available: True

CPU:
Architecture:        x86_64
CPU op-mode(s):      32-bit, 64-bit
Byte Order:          Little Endian
CPU(s):              64
On-line CPU(s) list: 0-63
Thread(s) per core:  2
Core(s) per socket:  32
Socket(s):           1
NUMA node(s):        1
Vendor ID:           AuthenticAMD
CPU family:          23
Model:               49
Model name:          AMD EPYC 7R32
Stepping:            0
CPU MHz:             3299.097
BogoMIPS:            5600.00
Hypervisor vendor:   KVM
Virtualization type: full
L1d cache:           32K
L1i cache:           32K
L2 cache:            512K
L3 cache:            16384K
NUMA node0 CPU(s):   0-63
Flags:               fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf tsc_known_freq pni pclmulqdq ssse3 fma cx16 sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy cr8_legacy abm sse4a misalignsse 3dnowprefetch topoext ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 clzero xsaveerptr wbnoinvd arat npt nrip_save rdpid

Versions of relevant libraries:
[pip3] numpy==1.26.0
[pip3] torch==2.1.0
[pip3] torchaudio==2.1.0
[pip3] torchvision==0.16.0
[pip3] triton==2.1.0
[conda] blas                      1.0                         mkl
[conda] ffmpeg                    4.3                  hf484d3e_0    pytorch
[conda] libjpeg-turbo             2.0.0                h9bf148f_0    pytorch
[conda] mkl                       2023.1.0         h213fc3f_46343
[conda] mkl-service               2.4.0            py39h5eee18b_1
[conda] mkl_fft                   1.3.8            py39h5eee18b_0
[conda] mkl_random                1.2.4            py39hdb19cb5_0
[conda] numpy                     1.26.0           py39h5f9d8c6_0
[conda] numpy-base                1.26.0           py39hb5e798b_0
[conda] pytorch                   2.1.0           py3.9_cuda11.8_cudnn8.7.0_0    pytorch
[conda] pytorch-cuda              11.8                 h7e8668a_5    pytorch
[conda] pytorch-mutex             1.0                        cuda    pytorch
[conda] torchaudio                2.1.0                py39_cu118    pytorch
[conda] torchtriton               2.1.0                      py39    pytorch
[conda] torchvision               0.16.0               py39_cu118    pytorch"
111924,[opcheck] Cannot share failures_dict between multiple tests with differing sets of tests they run ,"### 🐛 Describe the bug

The validation code tests that all keys are valid for every test, which means that if you have one test set with less running tests than another, that test will fail that the json is malformed because it sees test keys it doesn't recognize

### Versions

main

cc @zou3519"
