function_name,param_names,param_types,is_optional,return_type,documentation_length
tf.edit_distance,"['hypothesis', 'truth', 'normalize', 'name']","['sparsetensor', 'sparsetensor', 'bool', 'name']","[False, False, False, True]",tensor,741
tf.histogram_fixed_width,"['values', 'value_range', 'nbins', 'dtype', 'name']","['tensor', 'tensor', 'bins', 'dtype', 'defaults']","[False, False, False, False, False]",tensor,370
tf.DeviceSpec,"['job', 'replica', 'task', 'device_type', 'device_index']","['job', 'index', 'index', 'cpu', 'device']","[True, True, True, True, True]",devicespec,1284
tf.bitcast,"['input', 'type', 'name']","['tensor', 'tf.bfloat16', 'name']","[False, False, True]",tensor,811
tf.RaggedTensor,"['axis', 'name', 'out_type']","['bounding', 'tensor', 'tensor']","[False, True, False]",tensor,20754
tf.py_function,"['func', 'inp', 'Tout', 'name']","['inp', 'func', 'func', 'name']","[False, False, False, True]",func,1488
tf.gather_nd,"['params', 'indices', 'name', 'batch_dims']","['tensor', 'tensor', 'name', 'tensor']","[False, False, True, False]",tensor,2558
tf.CriticalSection,"['fn', 'exclusive_resource_access', 'name']","['tensor', 'fn', 'execute']","[False, False, False]",tensor,793
tf.custom_gradient,['f'],['x'],[False],f,2134
tf.TensorArraySpec,"['element_shape', 'dtype', 'dynamic_size', 'infer_shape']","['tensorarray', 'tensorarray', 'tensorarray', 'inference']","[False, False, False, False]",None,542
tf.eye,"['num_rows', 'num_columns', 'batch_shape', 'dtype', 'name']","['int32', 'int32', 'int32', 'tensor', 'op']","[False, True, False, False, False]",tensor,390
tf.expand_dims,"['input', 'axis', 'name']","['tensor', 'input', 'tensor']","[False, False, True]",tensor,530
tf.identity,"['input', 'name']","['tensor', 'name']","[False, True]",tensor,405
tf.slice,"['input_', 'begin', 'size', 'name']","['tensor', 'int32', 'int32', 'name']","[False, False, False, True]",tensor,572
tf.SparseTensorSpec,"['shape', 'dtype']","['sparsetensor', 'sparsetensor']","[False, False]",None,630
tf.zeros_like,"['input', 'dtype', 'name', 'layout']","['tensor', 'tensor', 'name', 'tensor']","[False, True, True, True]",tensor,388
tf.norm,"['tensor', 'ord', 'axis', 'keepdims', 'name']","['tensor', 'tensor', 'tensor', 'axis', 'name']","[False, False, False, False, False]",tensor,750
tf.executing_eagerly,[],[],[],true,343
tf.unique,"['x', 'out_idx', 'name']","['tensor', 'defaults', 'name']","[False, True, True]",tensor,407
tf.linspace,"['start', 'stop', 'num', 'name', 'axis']","['tensor', 'tensor', 'tensor', 'name', 'tensor']","[False, False, False, True, False]",tensor,450
tf.ensure_shape,"['x', 'shape', 'name']","['tensor', 'tensor', 'defaults']","[False, False, True]",tensor,1321
tf.truncatemod,"['x', 'y', 'name']","['tensor', 'tensor', 'name']","[False, False, True]",tensor,223
tf.hessians,"['ys', 'xs', 'gate_gradients', 'aggregation_method', 'name']","['tensor', 'tensor', 'details', 'details', 'hessians']","[False, False, False, False, True]",x,264
tf.cast,"['x', 'dtype', 'name']","['tensor', 'x', 'name']","[False, False, True]",tensor,534
tf.scatter_nd,"['indices', 'updates', 'shape', 'name']","['tensor', 'tensor', 'tensor', 'name']","[False, False, False, True]",tensor,1058
tf.register_tensor_conversion_function,"['base_type', 'conversion_func', 'priority']","['conversion_func', 'base_type', 'conversion']","[False, False, True]",None,308
tf.cond,"['pred', 'true_fn', 'false_fn', 'name']","['true_fn', 'None', 'None', 'tensor']","[False, False, False, True]",true_fn,939
tf.ragged_fill_empty_rows,"['value_rowids', 'values', 'nrows', 'default_value', 'name']","['tensor', 'tensor', 'tensor', 'tensor', 'name']","[False, False, False, False, True]",tensor,212
tf.realdiv,"['x', 'y', 'name']","['tensor', 'tensor', 'name']","[False, False, True]",tensor,239
tf.ones_initializer,['config'],['get_config'],[False],initializer,347
tf.pad,"['tensor', 'paddings', 'mode', 'constant_values', 'name']","['tensor', 'tensor', 'constant', 'tensor', 'name']","[False, False, False, False, True]",tensor,651
tf.load_op_library,['library_filename'],['file'],[False],module,190
tf.sort,"['values', 'axis', 'direction', 'name']","['tensor', 'axis', 'or', 'name']","[False, False, False, True]",tensor,522
tf.random_index_shuffle,"['index', 'seed', 'max_index', 'rounds', 'name']","['tensor', 'tensor', 'tensor', 'int', 'name']","[False, False, False, True, True]",tensor,371
tf.convert_to_tensor,"['value', 'dtype', 'dtype_hint', 'name']","['tensor', 'tensor', 'tensor', 'tensor']","[False, True, True, True]",tensor,611
tf.extract_volume_patches,"['input', 'ksizes', 'strides', 'padding', 'name']","['tensor', 'ints', 'ints', 'string', 'name']","[False, False, False, False, True]",tensor,370
tf.rank,"['input', 'name']","['tensor', 'name']","[False, True]",tensor,247
tf.map_fn,"['fn', 'elems', 'dtype', 'parallel_iterations', 'back_prop', 'swap_memory', 'infer_shape', 'name', 'fn_output_signature']","['elems', 'tensor', 'fn_output_signature', 'building', 'disables', 'gpucpu', 'disables', 'tensor', 'tensor']","[False, False, False, True, True, True, True, True, False]",tensor,2426
tf.variable_creator_scope,['variable_creator'],['creator'],[False],None,537
tf.clip_by_norm,"['t', 'clip_norm', 'axes', 'name']","['tensor', 'tensor', 'tensor', 'name']","[False, False, False, True]",tensor,558
