filename,line_count,itid_min,itid_max,itid_macro_avg,itid_micro_avg
Data\Models\PyTorch\CV\Inception.py,364,0.06578947368421052,0.9473684210526319,0.5160818713450293,0.532176113360324
Data\Models\PyTorch\CV\ResNet.py,248,0.1069230769230769,0.9761538461538461,0.6916665172434402,0.7379967446346756
Data\Models\PyTorch\CV\VGG.py,99,0.08620689655172413,1.0,0.6812397372742199,0.6682235507633181
Data\Models\PyTorch\NLP\BERT\bert_model.py,1526,0.1713836477987422,0.9481132075471701,0.6588490543843163,0.6956961980422757
Data\Models\PyTorch\NLP\GNMT\attention.py,119,0.0,1.0,0.7782874617737005,0.7714067278287462
Data\Models\PyTorch\NLP\GNMT\decoder.py,173,0.07446808510638299,1.0,0.7449974670719354,0.7424986361156576
Data\Models\PyTorch\NLP\GNMT\encoder.py,72,0.0,1.0,0.6970984680344285,0.7121305418719213
Data\Models\PyTorch\NLP\GNMT\gnmt.py,41,0.7187500000000001,1.0,0.8125,0.7589285714285714
Data\Models\PyTorch\NLP\GNMT\seq2seq_base.py,54,0.19791666666666669,0.6458333333333334,0.4108796296296296,0.38888888888888884
Data\Models\PyTorch\SR\DeepSpeech2\decoder.py,145,0.2238805970149254,1.0,0.7626865671641792,0.7829036635006784
Data\Models\PyTorch\SR\DeepSpeech2\model.py,265,0.07825295723384894,0.9745222929936306,0.6453279093031808,0.64326530146337
Data\Models\PyTorch\SR\DeepSpeech2\training.py,38,0.3333333333333333,1.0,0.7875000000000001,0.6666666666666666
Data\Models\PyTorch\SR\DeepSpeech2\utils.py,55,0.12244897959183675,0.8367346938775511,0.643233082706767,0.6390306122448981
Data\Models\PyTorch\SR\DeepSpeech2\validation.py,143,0.22268041237113403,1.0,0.7374624993181694,0.7435078323738118
Data\Models\PyTorch\SR\tacotron2\arg_parse.py,63,0.0,1.0,0.9666666666666668,0.9924812030075187
Data\Models\PyTorch\SR\tacotron2\data_function.py,103,0.06962025316455697,0.949367088607595,0.7133752323625743,0.7434854877892855
Data\Models\PyTorch\SR\tacotron2\entrypoint.py,115,0.19259259259259257,1.0,0.7933682504052874,0.7971225071225071
Data\Models\PyTorch\SR\tacotron2\loss_function.py,15,0.4230769230769231,1.0,0.6057692307692308,0.5470085470085471
Data\Models\PyTorch\SR\tacotron2\model.py,544,0.28062015503875964,1.0,0.7352593917710196,0.729076151390789
